time,ax,ay,az
0.001,0.23,0.86,-1.28
0.001,0.23,0.86,-1.28
0.001,0.23,0.86,-1.28
0.002,0.23,0.86,-1.28
0.004,0.23,0.86,-1.28
0.006,0.23,0.86,-1.28
0.008,0.47,0.9,-1.38
0.008,0.47,0.9,-1.38
0.011,0.47,0.9,-1.38
0.012,0.47,0.9,-1.38
0.014,0.47,0.9,-1.38
0.016,0.47,0.9,-1.38
0.018,0.64,0.79,-0.78
0.018,0.64,0.79,-0.78
0.021,0.64,0.79,-0.78
0.022,0.64,0.79,-0.78
0.024,0.64,0.79,-0.78
0.026,0.64,0.79,-0.78
0.028,0.74,0.81,0.08
0.028,0.74,0.81,0.08
0.031,0.74,0.81,0.08
0.034,0.74,0.81,0.08
0.034,0.74,0.81,0.08
0.036,0.74,0.81,0.08
0.038,0.74,0.78,1
0.038,0.74,0.78,1
0.041,0.74,0.78,1
0.043,0.74,0.78,1
0.044,0.74,0.78,1
0.047,0.74,0.78,1
0.052,0.64,0.78,1.53
0.052,0.64,0.78,1.53
0.055,0.64,0.78,1.53
0.056,0.64,0.78,1.53
0.056,0.64,0.78,1.53
0.056,0.64,0.78,1.53
0.058,0.4,0.83,1.82
0.058,0.4,0.83,1.82
0.062,0.4,0.83,1.82
0.062,0.4,0.83,1.82
0.064,0.4,0.83,1.82
0.066,0.4,0.83,1.82
0.068,0.11,0.9,2.02
0.068,0.11,0.9,2.02
0.071,0.11,0.9,2.02
0.072,0.11,0.9,2.02
0.076,0.11,0.9,2.02
0.077,0.11,0.9,2.02
0.078,-0.05,0.86,1.89
0.079,-0.05,0.86,1.89
0.082,-0.05,0.86,1.89
0.082,-0.05,0.86,1.89
0.084,-0.05,0.86,1.89
0.086,-0.05,0.86,1.89
0.089,-0.01,0.7,1.82
0.089,-0.01,0.7,1.82
0.091,-0.01,0.7,1.82
0.093,-0.01,0.7,1.82
0.094,-0.01,0.7,1.82
0.097,-0.01,0.7,1.82
0.098,0.18,0.64,1.76
0.099,0.18,0.64,1.76
0.101,0.18,0.64,1.76
0.102,0.18,0.64,1.76
0.104,0.18,0.64,1.76
0.123,0.18,0.64,1.76
0.124,0.39,0.54,1.42
0.124,0.39,0.54,1.42
0.124,0.39,0.54,1.42
0.124,0.39,0.54,1.42
0.125,0.39,0.54,1.42
0.125,0.39,0.54,1.42
0.125,0.42,0.4,0.97
0.126,0.42,0.4,0.97
0.126,0.42,0.4,0.97
0.126,0.42,0.4,0.97
0.127,0.42,0.4,0.97
0.127,0.42,0.4,0.97
0.18,0.12,0.43,0.39
0.181,0.12,0.43,0.39
0.181,0.12,0.43,0.39
0.182,0.12,0.43,0.39
0.182,0.12,0.43,0.39
0.183,0.12,0.43,0.39
0.183,-0.52,0.64,0.06
0.184,-0.52,0.64,0.06
0.184,-0.52,0.64,0.06
0.185,-0.52,0.64,0.06
0.186,-0.52,0.64,0.06
0.186,-0.52,0.64,0.06
0.187,-1.16,0.85,0.03
0.187,-1.16,0.85,0.03
0.187,-1.16,0.85,0.03
0.188,-1.16,0.85,0.03
0.188,-1.16,0.85,0.03
0.189,-1.16,0.85,0.03
0.189,-1.62,0.92,0.5
0.19,-1.62,0.92,0.5
0.19,-1.62,0.92,0.5
0.191,-1.62,0.92,0.5
0.192,-1.62,0.92,0.5
