time,ax,ay,az
0.004,-0.09,0.31,-1.76
0.004,-0.09,0.31,-1.76
0.004,-0.09,0.31,-1.76
0.004,-0.09,0.31,-1.76
0.005,-0.09,0.31,-1.76
0.005,-0.09,0.31,-1.76
0.008,-0.42,0.62,-2.06
0.009,-0.42,0.62,-2.06
0.009,-0.42,0.62,-2.06
0.01,-0.42,0.62,-2.06
0.019,-0.42,0.62,-2.06
0.02,-0.42,0.62,-2.06
0.02,-0.58,0.73,-2.03
0.02,-0.58,0.73,-2.03
0.02,-0.58,0.73,-2.03
0.02,-0.58,0.73,-2.03
0.021,-0.58,0.73,-2.03
0.023,-0.58,0.73,-2.03
0.026,-0.58,0.8,-1.77
0.026,-0.58,0.8,-1.77
0.032,-0.58,0.8,-1.77
0.033,-0.58,0.8,-1.77
0.033,-0.58,0.8,-1.77
0.033,-0.58,0.8,-1.77
0.036,-0.37,0.97,-1.37
0.036,-0.37,0.97,-1.37
0.037,-0.37,0.97,-1.37
0.04,-0.37,0.97,-1.37
0.041,-0.37,0.97,-1.37
0.043,-0.37,0.97,-1.37
0.045,-0.15,1.01,-1.01
0.046,-0.15,1.01,-1.01
0.047,-0.15,1.01,-1.01
0.049,-0.15,1.01,-1.01
0.052,-0.15,1.01,-1.01
0.053,-0.15,1.01,-1.01
0.055,0.11,0.76,-0.85
0.056,0.11,0.76,-0.85
0.057,0.11,0.76,-0.85
0.059,0.11,0.76,-0.85
0.077,0.11,0.76,-0.85
0.077,0.11,0.76,-0.85
0.078,0.28,0.73,-0.65
0.078,0.28,0.73,-0.65
0.078,0.28,0.73,-0.65
0.078,0.28,0.73,-0.65
0.078,0.28,0.73,-0.65
0.078,0.28,0.73,-0.65
0.078,0.34,0.79,-0.35
0.079,0.34,0.79,-0.35
0.079,0.34,0.79,-0.35
0.08,0.34,0.79,-0.35
0.082,0.34,0.79,-0.35
0.083,0.34,0.79,-0.35
0.106,0.43,1.02,0.02
0.106,0.43,1.02,0.02
0.107,0.43,1.02,0.02
0.107,0.43,1.02,0.02
0.107,0.43,1.02,0.02
0.107,0.43,1.02,0.02
0.108,0.58,1.15,0.49
0.108,0.58,1.15,0.49
0.108,0.58,1.15,0.49
0.108,0.58,1.15,0.49
0.108,0.58,1.15,0.49
0.109,0.58,1.15,0.49
0.109,0.99,1.45,0.85
0.109,0.99,1.45,0.85
0.109,0.99,1.45,0.85
0.109,0.99,1.45,0.85
0.135,0.99,1.45,0.85
0.136,0.99,1.45,0.85
0.136,1.36,1.5,1.04
0.136,1.36,1.5,1.04
0.136,1.36,1.5,1.04
0.137,1.36,1.5,1.04
0.137,1.36,1.5,1.04
0.137,1.36,1.5,1.04
0.137,1.53,1.32,1.04
0.137,1.53,1.32,1.04
0.138,1.53,1.32,1.04
0.138,1.53,1.32,1.04
0.138,1.53,1.32,1.04
0.138,1.53,1.32,1.04
0.138,1.39,1.18,1.08
0.138,1.39,1.18,1.08
0.139,1.39,1.18,1.08
0.139,1.39,1.18,1.08
0.144,1.39,1.18,1.08
0.145,1.39,1.18,1.08
0.164,1.02,1.19,1.38
0.164,1.02,1.19,1.38
0.164,1.02,1.19,1.38
0.165,1.02,1.19,1.38
0.165,1.02,1.19,1.38
0.165,1.02,1.19,1.38
0.165,0.69,1.15,1.84
0.165,0.69,1.15,1.84
0.165,0.69,1.15,1.84
0.165,0.69,1.15,1.84
0.166,0.69,1.15,1.84
0.166,0.69,1.15,1.84
0.166,0.44,0.99,2.27
0.166,0.44,0.99,2.27
0.169,0.44,0.99,2.27
0.17,0.44,0.99,2.27
0.171,0.44,0.99,2.27
0.172,0.44,0.99,2.27
0.175,0.31,0.65,1.83
0.175,0.31,0.65,1.83
0.184,0.31,0.65,1.83
0.195,0.31,0.65,1.83
0.195,0.31,0.65,1.83
0.196,0.31,0.65,1.83
0.196,0.37,0.18,0.81
0.196,0.37,0.18,0.81
0.197,0.37,0.18,0.81
0.197,0.37,0.18,0.81
0.197,0.37,0.18,0.81
0.197,0.37,0.18,0.81
0.197,0.21,0,-0.09
0.197,0.21,0,-0.09
0.198,0.21,0,-0.09
0.201,0.21,0,-0.09
