time,ax,ay,az
0.002,0.4,0.17,-0.45
0.003,0.4,0.17,-0.45
0.003,0.4,0.17,-0.45
0.003,0.32,0.36,-0.37
0.004,0.32,0.36,-0.37
0.004,0.32,0.36,-0.37
0.013,0.32,0.36,-0.37
0.013,0.32,0.36,-0.37
0.013,0.32,0.36,-0.37
0.013,0.32,0.46,-0.42
0.014,0.32,0.46,-0.42
0.014,0.32,0.46,-0.42
0.015,0.32,0.46,-0.42
0.046,0.32,0.46,-0.42
0.046,0.32,0.46,-0.42
0.046,0.43,0.49,-0.53
0.047,0.43,0.49,-0.53
0.047,0.43,0.49,-0.53
0.047,0.43,0.49,-0.53
0.047,0.43,0.49,-0.53
0.047,0.43,0.49,-0.53
0.048,0.58,0.49,-0.52
0.048,0.58,0.49,-0.52
0.048,0.58,0.49,-0.52
0.048,0.58,0.49,-0.52
0.048,0.58,0.49,-0.52
0.048,0.58,0.49,-0.52
0.049,0.76,0.4,-0.24
0.049,0.76,0.4,-0.24
0.049,0.76,0.4,-0.24
0.049,0.76,0.4,-0.24
0.049,0.76,0.4,-0.24
0.049,0.76,0.4,-0.24
0.054,0.78,0.28,-0.11
0.054,0.78,0.28,-0.11
0.054,0.78,0.28,-0.11
0.056,0.78,0.28,-0.11
0.056,0.78,0.28,-0.11
0.073,0.78,0.28,-0.11
0.073,0.9,0.22,-0.02
0.073,0.9,0.22,-0.02
0.073,0.9,0.22,-0.02
0.073,0.9,0.22,-0.02
0.074,0.9,0.22,-0.02
0.074,0.9,0.22,-0.02
0.074,0.91,0.12,-0.08
0.074,0.91,0.12,-0.08
0.074,0.91,0.12,-0.08
0.085,0.91,0.12,-0.08
0.086,0.91,0.12,-0.08
0.086,0.91,0.12,-0.08
0.087,1.17,-0.07,-0.26
0.087,1.17,-0.07,-0.26
0.088,1.17,-0.07,-0.26
0.089,1.17,-0.07,-0.26
0.089,1.17,-0.07,-0.26
0.09,1.17,-0.07,-0.26
0.096,1.58,-0.13,-0.14
0.096,1.58,-0.13,-0.14
0.097,1.58,-0.13,-0.14
0.097,1.58,-0.13,-0.14
0.098,1.58,-0.13,-0.14
0.098,1.58,-0.13,-0.14
0.102,1.83,-0.16,0.03
0.103,1.83,-0.16,0.03
0.104,1.83,-0.16,0.03
0.111,1.83,-0.16,0.03
0.112,1.83,-0.16,0.03
0.112,1.83,-0.16,0.03
0.113,1.86,-0.08,-0.05
0.113,1.86,-0.08,-0.05
0.114,1.86,-0.08,-0.05
0.116,1.86,-0.08,-0.05
0.117,1.86,-0.08,-0.05
0.118,1.86,-0.08,-0.05
0.121,1.94,0.03,0.02
0.121,1.94,0.03,0.02
0.123,1.94,0.03,0.02
0.126,1.94,0.03,0.02
0.126,1.94,0.03,0.02
0.128,1.94,0.03,0.02
0.13,1.79,0.09,0.15
0.131,1.79,0.09,0.15
0.133,1.79,0.09,0.15
0.151,1.79,0.09,0.15
0.152,1.79,0.09,0.15
0.152,1.79,0.09,0.15
0.153,1.66,0.22,0.23
0.153,1.66,0.22,0.23
0.154,1.66,0.22,0.23
0.154,1.66,0.22,0.23
0.155,1.66,0.22,0.23
0.155,1.66,0.22,0.23
0.156,1.43,0.28,0.36
0.156,1.43,0.28,0.36
0.157,1.43,0.28,0.36
0.157,1.43,0.28,0.36
0.161,1.43,0.28,0.36
0.161,1.43,0.28,0.36
0.162,1.32,0.28,0.63
0.162,1.32,0.28,0.63
0.162,1.32,0.28,0.63
0.167,1.32,0.28,0.63
0.169,1.32,0.28,0.63
0.169,1.32,0.28,0.63
0.211,1.33,0.26,0.71
0.213,1.33,0.26,0.71
0.214,1.33,0.26,0.71
0.215,1.33,0.26,0.71
0.215,1.33,0.26,0.71
0.215,1.33,0.26,0.71
0.216,1.44,0.2,0.47
0.251,1.44,0.2,0.47
0.251,1.44,0.2,0.47
0.252,1.44,0.2,0.47
0.252,1.44,0.2,0.47
0.253,1.44,0.2,0.47
0.253,1.42,0.23,0.25
0.254,1.42,0.23,0.25
0.254,1.42,0.23,0.25
0.255,1.42,0.23,0.25
0.255,1.42,0.23,0.25
0.255,1.42,0.23,0.25
0.256,1.23,0.35,0.14
0.256,1.23,0.35,0.14
0.256,1.23,0.35,0.14
0.257,1.23,0.35,0.14
0.257,1.23,0.35,0.14
0.258,1.23,0.35,0.14
0.258,0.84,0.54,0.03
0.258,0.84,0.54,0.03
0.259,0.84,0.54,0.03
0.259,0.84,0.54,0.03
0.259,0.84,0.54,0.03
0.26,0.84,0.54,0.03
0.26,-0.13,0.23,-0.14
0.26,-0.13,0.23,-0.14
0.261,-0.13,0.23,-0.14
0.261,-0.13,0.23,-0.14
0.261,-0.13,0.23,-0.14
0.262,-0.13,0.23,-0.14
0.262,-0.3,0.75,-0.2
0.262,-0.3,0.75,-0.2
0.263,-0.3,0.75,-0.2
0.263,-0.3,0.75,-0.2
0.264,-0.3,0.75,-0.2
0.264,-0.3,0.75,-0.2
0.264,-0.03,1.55,-0.18
0.265,-0.03,1.55,-0.18
0.265,-0.03,1.55,-0.18
0.265,-0.03,1.55,-0.18
0.266,-0.03,1.55,-0.18
0.266,-0.03,1.55,-0.18
0.266,-0.09,1.64,-0.02
0.267,-0.09,1.64,-0.02
0.267,-0.09,1.64,-0.02
0.268,-0.09,1.64,-0.02
0.268,-0.09,1.64,-0.02
0.268,-0.09,1.64,-0.02
0.269,-0.09,1.64,-0.02
0.269,-0.25,1.52,-0.06
0.269,-0.25,1.52,-0.06
0.269,-0.25,1.52,-0.06
0.27,-0.25,1.52,-0.06
0.27,-0.25,1.52,-0.06
0.304,-0.19,1.43,-0.23
0.305,-0.19,1.43,-0.23
0.305,-0.19,1.43,-0.23
0.305,-0.19,1.43,-0.23
0.306,-0.19,1.43,-0.23
0.306,-0.19,1.43,-0.23
0.306,-0.19,1.38,-0.57
0.306,-0.19,1.38,-0.57
0.306,-0.19,1.38,-0.57
0.306,-0.19,1.38,-0.57
0.307,-0.19,1.38,-0.57
0.307,-0.19,1.38,-0.57
0.307,-0.26,1.17,-0.92
0.307,-0.26,1.17,-0.92
0.307,-0.26,1.17,-0.92
0.308,-0.26,1.17,-0.92
0.308,-0.26,1.17,-0.92
0.308,-0.26,1.17,-0.92
0.308,-0.37,1.09,-1.28
0.308,-0.37,1.09,-1.28
0.308,-0.37,1.09,-1.28
0.309,-0.37,1.09,-1.28
0.309,-0.37,1.09,-1.28
0.309,-0.37,1.09,-1.28
0.318,-0.62,1.02,-1.5
0.318,-0.62,1.02,-1.5
0.319,-0.62,1.02,-1.5
0.319,-0.62,1.02,-1.5
0.319,-0.62,1.02,-1.5
0.319,-0.62,1.02,-1.5
0.323,-0.98,1.01,-1.44
0.323,-0.98,1.01,-1.44
0.323,-0.98,1.01,-1.44
0.325,-0.98,1.01,-1.44
0.326,-0.98,1.01,-1.44
0.328,-0.98,1.01,-1.44
0.33,-1.07,0.98,-1.12
0.33,-1.07,0.98,-1.12
0.332,-1.07,0.98,-1.12
0.339,-1.07,0.98,-1.12
0.34,-1.07,0.98,-1.12
0.34,-1.07,0.98,-1.12
0.34,-0.85,0.95,-0.84
0.34,-0.85,0.95,-0.84
0.342,-0.85,0.95,-0.84
0.349,-0.85,0.95,-0.84
0.349,-0.85,0.95,-0.84
0.37,-0.85,0.95,-0.84
0.371,-0.18,0.98,-0.2
0.371,-0.18,0.98,-0.2
0.371,-0.18,0.98,-0.2
0.371,-0.18,0.98,-0.2
0.371,-0.18,0.98,-0.2
0.372,-0.18,0.98,-0.2
0.372,1.91,1.12,-0.9
0.372,1.91,1.12,-0.9
0.372,1.91,1.12,-0.9
0.372,1.91,1.12,-0.9
0.373,1.91,1.12,-0.9
