time,ax,ay,az
0.002,-0.16,0.65,-0.17
0.003,-0.29,0.72,-0.74
0.003,-0.29,0.72,-0.74
0.004,-0.29,0.72,-0.74
0.004,-0.29,0.72,-0.74
0.004,-0.29,0.72,-0.74
0.006,-0.29,0.72,-0.74
0.009,-0.28,0.58,-1.21
0.01,-0.28,0.58,-1.21
0.01,-0.28,0.58,-1.21
0.011,-0.28,0.58,-1.21
0.012,-0.28,0.58,-1.21
0.012,-0.28,0.58,-1.21
0.023,-0.17,0.56,-1.4
0.023,-0.17,0.56,-1.4
0.024,-0.17,0.56,-1.4
0.037,-0.17,0.56,-1.4
0.038,-0.17,0.56,-1.4
0.038,-0.17,0.56,-1.4
0.038,-0.13,0.55,-1.28
0.039,-0.13,0.55,-1.28
0.039,-0.13,0.55,-1.28
0.039,-0.13,0.55,-1.28
0.039,-0.13,0.55,-1.28
0.04,-0.13,0.55,-1.28
0.04,-0.08,0.59,-1.08
0.04,-0.08,0.59,-1.08
0.041,-0.08,0.59,-1.08
0.041,-0.08,0.59,-1.08
0.041,-0.08,0.59,-1.08
0.074,-0.08,0.59,-1.08
0.074,0.09,0.64,-0.79
0.075,0.09,0.64,-0.79
0.075,0.09,0.64,-0.79
0.075,0.09,0.64,-0.79
0.076,0.09,0.64,-0.79
0.076,0.09,0.64,-0.79
0.076,0.29,0.67,-0.54
0.076,0.29,0.67,-0.54
0.077,0.29,0.67,-0.54
0.077,0.29,0.67,-0.54
0.077,0.29,0.67,-0.54
0.078,0.29,0.67,-0.54
0.078,0.46,0.69,-0.47
0.078,0.46,0.69,-0.47
0.078,0.46,0.69,-0.47
0.079,0.46,0.69,-0.47
0.079,0.46,0.69,-0.47
0.079,0.46,0.69,-0.47
0.082,0.5,0.72,-0.53
0.084,0.5,0.72,-0.53
0.085,0.5,0.72,-0.53
0.085,0.5,0.72,-0.53
0.088,0.5,0.72,-0.53
0.089,0.5,0.72,-0.53
0.089,0.53,0.78,-0.49
0.089,0.53,0.78,-0.49
0.09,0.53,0.78,-0.49
0.09,0.53,0.78,-0.49
0.093,0.53,0.78,-0.49
0.095,0.53,0.78,-0.49
0.095,0.47,0.85,-0.71
0.096,0.47,0.85,-0.71
0.096,0.47,0.85,-0.71
0.099,0.47,0.85,-0.71
0.1,0.47,0.85,-0.71
0.102,0.47,0.85,-0.71
0.105,0.34,0.83,-1.02
0.105,0.34,0.83,-1.02
0.124,0.34,0.83,-1.02
0.124,0.34,0.83,-1.02
0.125,0.34,0.83,-1.02
0.125,0.34,0.83,-1.02
0.125,0.29,0.85,-1.26
0.125,0.29,0.85,-1.26
0.126,0.29,0.85,-1.26
0.126,0.29,0.85,-1.26
0.126,0.29,0.85,-1.26
0.127,0.29,0.85,-1.26
0.127,0.21,0.77,-1.21
0.127,0.21,0.77,-1.21
0.128,0.21,0.77,-1.21
0.137,0.21,0.77,-1.21
0.138,0.21,0.77,-1.21
0.139,0.21,0.77,-1.21
0.14,0.25,0.75,-0.96
0.143,0.25,0.75,-0.96
0.145,0.25,0.75,-0.96
0.146,0.25,0.75,-0.96
0.148,0.25,0.75,-0.96
0.148,0.25,0.75,-0.96
0.149,0.38,0.7,-0.4
0.149,0.38,0.7,-0.4
0.15,0.38,0.7,-0.4
0.158,0.38,0.7,-0.4
0.158,0.38,0.7,-0.4
0.159,0.38,0.7,-0.4
0.159,0.57,0.67,0.17
0.159,0.57,0.67,0.17
0.159,0.57,0.67,0.17
0.16,0.57,0.67,0.17
0.161,0.57,0.67,0.17
0.162,0.57,0.67,0.17
0.165,0.79,0.61,0.65
0.165,0.79,0.61,0.65
0.171,0.79,0.61,0.65
0.172,0.79,0.61,0.65
0.172,0.79,0.61,0.65
0.172,0.79,0.61,0.65
0.176,1.02,0.67,1.14
0.176,1.02,0.67,1.14
0.177,1.02,0.67,1.14
0.178,1.02,0.67,1.14
0.18,1.02,0.67,1.14
0.183,1.02,0.67,1.14
0.211,1.16,0.71,1.58
0.212,1.16,0.71,1.58
0.212,1.16,0.71,1.58
0.213,1.16,0.71,1.58
0.213,1.16,0.71,1.58
0.214,1.16,0.71,1.58
0.214,1.22,0.64,1.86
0.214,1.22,0.64,1.86
0.215,1.22,0.64,1.86
0.215,1.22,0.64,1.86
0.216,1.22,0.64,1.86
0.216,1.22,0.64,1.86
0.216,1.12,0.59,1.87
0.217,1.12,0.59,1.87
0.243,1.12,0.59,1.87
0.244,1.12,0.59,1.87
0.244,1.12,0.59,1.87
0.244,1.12,0.59,1.87
0.245,0.79,0.54,1.56
0.245,0.79,0.54,1.56
0.245,0.79,0.54,1.56
0.245,0.79,0.54,1.56
0.245,0.79,0.54,1.56
0.246,0.79,0.54,1.56
0.246,0.47,0.52,1.23
0.246,0.47,0.52,1.23
0.246,0.47,0.52,1.23
0.247,0.47,0.52,1.23
0.247,0.47,0.52,1.23
0.247,0.47,0.52,1.23
0.247,0.25,0.55,0.8
0.248,0.25,0.55,0.8
0.248,0.25,0.55,0.8
0.248,0.25,0.55,0.8
0.248,0.25,0.55,0.8
0.248,0.25,0.55,0.8
0.268,0.24,0.64,0.44
0.269,0.24,0.64,0.44
0.27,0.24,0.64,0.44
0.27,0.24,0.64,0.44
0.271,0.24,0.64,0.44
0.272,0.24,0.64,0.44
0.273,0.47,0.74,0.17
0.273,0.47,0.74,0.17
0.274,0.47,0.74,0.17
0.275,0.47,0.74,0.17
0.278,0.47,0.74,0.17
0.278,0.47,0.74,0.17
0.279,0.66,0.78,0.18
0.279,0.66,0.78,0.18
0.28,0.66,0.78,0.18
0.28,0.66,0.78,0.18
0.281,0.66,0.78,0.18
0.281,0.66,0.78,0.18
0.282,0.84,0.87,0.47
0.282,0.84,0.87,0.47
0.283,0.84,0.87,0.47
0.283,0.84,0.87,0.47
0.284,0.84,0.87,0.47
0.284,0.84,0.87,0.47
0.285,0.92,0.95,0.91
0.285,0.92,0.95,0.91
0.292,0.92,0.95,0.91
0.297,0.92,0.95,0.91
0.297,0.92,0.95,0.91
0.297,0.92,0.95,0.91
0.297,0.92,1.02,1.28
0.298,0.92,1.02,1.28
0.298,0.92,1.02,1.28
0.298,0.92,1.02,1.28
0.3,0.92,1.02,1.28
0.302,0.92,1.02,1.28
0.304,0.91,1.09,1.41
0.305,0.91,1.09,1.41
0.309,0.91,1.09,1.41
0.309,0.91,1.09,1.41
0.31,0.91,1.09,1.41
0.315,0.91,1.09,1.41
0.315,1.02,1.15,1.4
0.315,1.02,1.15,1.4
0.315,1.02,1.15,1.4
0.318,1.02,1.15,1.4
0.327,1.02,1.15,1.4
