time,ax,ay,az
0.005,-1.33,0.95,-1.27
0.006,-1.33,0.95,-1.27
0.006,-1.33,0.95,-1.27
0.006,-1.33,0.95,-1.27
0.006,-1.33,0.95,-1.27
0.006,-1.33,0.95,-1.27
0.007,-1.49,1.05,-1.49
0.007,-1.49,1.05,-1.49
0.007,-1.49,1.05,-1.49
0.007,-1.49,1.05,-1.49
0.009,-1.49,1.05,-1.49
0.021,-1.49,1.05,-1.49
0.021,-1.4,1.15,-1.66
0.022,-1.4,1.15,-1.66
0.022,-1.4,1.15,-1.66
0.022,-1.4,1.15,-1.66
0.022,-1.4,1.15,-1.66
0.022,-1.4,1.15,-1.66
0.023,-1.26,1.25,-1.75
0.023,-1.26,1.25,-1.75
0.027,-1.26,1.25,-1.75
0.028,-1.26,1.25,-1.75
0.028,-1.26,1.25,-1.75
0.031,-1.26,1.25,-1.75
0.033,-1.05,1.06,-1.79
0.033,-1.05,1.06,-1.79
0.034,-1.05,1.06,-1.79
0.037,-1.05,1.06,-1.79
0.038,-1.05,1.06,-1.79
0.04,-1.05,1.06,-1.79
0.047,-0.58,0.81,-1.47
0.047,-0.58,0.81,-1.47
0.047,-0.58,0.81,-1.47
0.047,-0.58,0.81,-1.47
0.048,-0.58,0.81,-1.47
0.05,-0.58,0.81,-1.47
0.098,-0.11,0.59,-0.63
0.099,-0.11,0.59,-0.63
0.099,-0.11,0.59,-0.63
0.099,-0.11,0.59,-0.63
0.104,-0.11,0.59,-0.63
0.104,-0.11,0.59,-0.63
0.104,0.01,0.44,0.26
0.104,0.01,0.44,0.26
0.105,0.01,0.44,0.26
0.105,0.01,0.44,0.26
0.105,0.01,0.44,0.26
0.105,0.01,0.44,0.26
0.105,-0.02,0.49,1.06
0.106,-0.02,0.49,1.06
0.106,-0.02,0.49,1.06
0.106,-0.02,0.49,1.06
0.106,-0.02,0.49,1.06
0.106,-0.02,0.49,1.06
0.107,0.08,0.7,1.69
0.107,0.08,0.7,1.69
0.107,0.08,0.7,1.69
0.107,0.08,0.7,1.69
0.107,0.08,0.7,1.69
0.108,0.08,0.7,1.69
0.108,0.26,0.87,2.07
0.108,0.26,0.87,2.07
0.108,0.26,0.87,2.07
0.108,0.26,0.87,2.07
0.109,0.26,0.87,2.07
0.109,0.26,0.87,2.07
0.109,0.1,0.53,1.88
0.109,0.1,0.53,1.88
0.109,0.1,0.53,1.88
0.11,0.1,0.53,1.88
0.125,0.1,0.53,1.88
0.125,0.1,0.53,1.88
0.126,-0.37,0.8,1.04
0.126,-0.37,0.8,1.04
0.126,-0.37,0.8,1.04
0.126,-0.37,0.8,1.04
0.126,-0.37,0.8,1.04
0.127,-0.37,0.8,1.04
0.127,-0.96,1.15,0.5
0.127,-0.96,1.15,0.5
0.127,-0.96,1.15,0.5
0.127,-0.96,1.15,0.5
0.13,-0.96,1.15,0.5
0.13,-0.96,1.15,0.5
0.132,-1.47,0.95,0.39
0.133,-1.47,0.95,0.39
0.134,-1.47,0.95,0.39
0.136,-1.47,0.95,0.39
0.138,-1.47,0.95,0.39
0.141,-1.47,0.95,0.39
0.143,-1.81,0.43,0.09
0.143,-1.81,0.43,0.09
