time,ax,ay,az
0.006,0.02,0.65,-0.58
0.006,0.02,0.65,-0.58
0.007,0.02,0.65,-0.58
0.007,0.02,0.65,-0.58
0.008,0.02,0.65,-0.58
0.009,0.02,0.65,-0.58
0.009,-0.09,0.61,-0.52
0.009,-0.09,0.61,-0.52
0.01,-0.09,0.61,-0.52
0.01,-0.09,0.61,-0.52
0.014,-0.09,0.61,-0.52
0.017,-0.09,0.61,-0.52
0.017,-0.18,0.36,-0.49
0.018,-0.18,0.36,-0.49
0.018,-0.18,0.36,-0.49
0.022,-0.18,0.36,-0.49
0.023,-0.18,0.36,-0.49
0.023,-0.18,0.36,-0.49
0.025,0.02,0.42,-0.42
0.025,0.02,0.42,-0.42
0.028,0.02,0.42,-0.42
0.029,0.02,0.42,-0.42
0.031,0.02,0.42,-0.42
0.033,0.02,0.42,-0.42
0.034,0.09,0.48,-0.3
0.035,0.09,0.48,-0.3
0.055,0.09,0.48,-0.3
0.056,0.09,0.48,-0.3
0.057,0.09,0.48,-0.3
0.057,0.09,0.48,-0.3
0.057,0.01,0.37,-0.23
0.057,0.01,0.37,-0.23
0.058,0.01,0.37,-0.23
0.058,0.01,0.37,-0.23
0.058,0.01,0.37,-0.23
0.059,0.01,0.37,-0.23
0.059,0.05,0.29,-0.18
0.059,0.05,0.29,-0.18
0.059,0.05,0.29,-0.18
0.06,0.05,0.29,-0.18
0.062,0.05,0.29,-0.18
0.07,0.05,0.29,-0.18
0.071,0.04,0.23,-0.23
0.071,0.04,0.23,-0.23
0.072,0.04,0.23,-0.23
0.072,0.04,0.23,-0.23
0.072,0.04,0.23,-0.23
0.091,0.04,0.23,-0.23
0.091,0.07,0.15,-0.38
0.092,0.07,0.15,-0.38
0.092,0.07,0.15,-0.38
0.092,0.07,0.15,-0.38
0.093,0.07,0.15,-0.38
0.093,0.07,0.15,-0.38
0.093,0.24,0.11,-0.5
0.094,0.24,0.11,-0.5
0.094,0.24,0.11,-0.5
0.094,0.24,0.11,-0.5
0.094,0.24,0.11,-0.5
0.095,0.24,0.11,-0.5
0.109,0.34,0.12,-0.7
0.11,0.34,0.12,-0.7
0.111,0.34,0.12,-0.7
0.112,0.34,0.12,-0.7
0.113,0.34,0.12,-0.7
0.114,0.34,0.12,-0.7
0.115,0.18,0.11,-0.78
0.117,0.18,0.11,-0.78
0.118,0.18,0.11,-0.78
0.119,0.18,0.11,-0.78
