time,ax,ay,az
0.004,-0.2,0.18,-0.84
0.004,-0.2,0.18,-0.84
0.004,-0.2,0.18,-0.84
0.004,-0.2,0.18,-0.84
0.005,-0.2,0.18,-0.84
0.005,-0.2,0.18,-0.84
0.005,-0.09,0.16,-0.98
0.005,-0.09,0.16,-0.98
0.005,-0.09,0.16,-0.98
0.008,-0.09,0.16,-0.98
0.01,-0.09,0.16,-0.98
0.011,-0.09,0.16,-0.98
0.013,-0.17,0.2,-1.08
0.013,-0.17,0.2,-1.08
0.015,-0.17,0.2,-1.08
0.018,-0.17,0.2,-1.08
0.019,-0.17,0.2,-1.08
0.022,-0.17,0.2,-1.08
0.023,-0.3,0.24,-1.05
0.023,-0.3,0.24,-1.05
0.025,-0.3,0.24,-1.05
0.028,-0.3,0.24,-1.05
0.029,-0.3,0.24,-1.05
0.032,-0.3,0.24,-1.05
0.033,-0.36,0.21,-1.13
0.033,-0.36,0.21,-1.13
0.036,-0.36,0.21,-1.13
0.039,-0.36,0.21,-1.13
0.039,-0.36,0.21,-1.13
0.041,-0.36,0.21,-1.13
0.043,-0.37,0.16,-1.13
0.043,-0.37,0.16,-1.13
0.045,-0.37,0.16,-1.13
0.048,-0.37,0.16,-1.13
0.055,-0.37,0.16,-1.13
0.055,-0.37,0.16,-1.13
0.055,-0.27,0.19,-1.09
0.055,-0.27,0.19,-1.09
0.056,-0.27,0.19,-1.09
0.058,-0.27,0.19,-1.09
0.059,-0.27,0.19,-1.09
0.061,-0.27,0.19,-1.09
0.063,-0.39,0.05,-0.78
0.064,-0.39,0.05,-0.78
0.065,-0.39,0.05,-0.78
0.068,-0.39,0.05,-0.78
0.069,-0.39,0.05,-0.78
0.071,-0.39,0.05,-0.78
0.073,-0.4,-0.02,-0.42
0.073,-0.4,-0.02,-0.42
0.075,-0.4,-0.02,-0.42
0.078,-0.4,-0.02,-0.42
0.079,-0.4,-0.02,-0.42
0.081,-0.4,-0.02,-0.42
0.084,-0.38,-0.02,-0.18
0.085,-0.38,-0.02,-0.18
0.085,-0.38,-0.02,-0.18
0.088,-0.38,-0.02,-0.18
0.089,-0.38,-0.02,-0.18
0.091,-0.38,-0.02,-0.18
0.093,-0.4,0.01,-0.05
0.093,-0.4,0.01,-0.05
0.095,-0.4,0.01,-0.05
0.102,-0.4,0.01,-0.05
0.103,-0.4,0.01,-0.05
0.105,-0.4,0.01,-0.05
0.106,-0.65,-0.03,-0.06
0.107,-0.65,-0.03,-0.06
0.107,-0.65,-0.03,-0.06
0.108,-0.65,-0.03,-0.06
0.109,-0.65,-0.03,-0.06
0.111,-0.65,-0.03,-0.06
0.113,-0.7,0.01,-0.17
0.114,-0.7,0.01,-0.17
0.116,-0.7,0.01,-0.17
0.123,-0.7,0.01,-0.17
0.123,-0.7,0.01,-0.17
0.124,-0.7,0.01,-0.17
0.144,-0.35,0.01,-0.35
0.144,-0.35,0.01,-0.35
0.144,-0.35,0.01,-0.35
0.145,-0.35,0.01,-0.35
0.145,-0.35,0.01,-0.35
0.145,-0.35,0.01,-0.35
0.145,-0.03,-0.01,-0.6
0.146,-0.03,-0.01,-0.6
0.146,-0.03,-0.01,-0.6
0.146,-0.03,-0.01,-0.6
0.146,-0.03,-0.01,-0.6
0.147,-0.03,-0.01,-0.6
0.147,-0.03,0.16,-0.63
0.147,-0.03,0.16,-0.63
0.148,-0.03,0.16,-0.63
0.162,-0.03,0.16,-0.63
0.163,-0.03,0.16,-0.63
0.163,-0.03,0.16,-0.63
0.163,-0.51,0.67,-0.43
0.164,-0.51,0.67,-0.43
0.164,-0.51,0.67,-0.43
0.164,-0.51,0.67,-0.43
0.164,-0.51,0.67,-0.43
0.165,-0.51,0.67,-0.43
0.165,-1.02,0.99,-0.22
0.165,-1.02,0.99,-0.22
0.166,-1.02,0.99,-0.22
