time,ax,ay,az
0.001,-0.23,0,-0.46
0.002,-0.23,0,-0.46
0.002,-0.23,0,-0.46
0.002,-0.29,0.04,-0.09
0.002,-0.29,0.04,-0.09
0.004,-0.29,0.04,-0.09
0.006,-0.29,0.04,-0.09
0.008,-0.29,0.04,-0.09
0.01,-0.29,0.04,-0.09
0.012,0,0.11,0.27
0.012,0,0.11,0.27
0.014,0,0.11,0.27
0.016,0,0.11,0.27
0.018,0,0.11,0.27
0.02,0,0.11,0.27
0.022,0.18,0.05,0.31
0.022,0.18,0.05,0.31
0.024,0.18,0.05,0.31
0.026,0.18,0.05,0.31
0.042,0.18,0.05,0.31
0.043,0.18,0.05,0.31
0.044,0.47,-0.17,0.15
0.044,0.47,-0.17,0.15
0.045,0.47,-0.17,0.15
0.045,0.47,-0.17,0.15
0.046,0.47,-0.17,0.15
0.046,0.47,-0.17,0.15
0.047,0.04,-0.03,0.31
0.047,0.04,-0.03,0.31
0.048,0.04,-0.03,0.31
0.049,0.04,-0.03,0.31
0.049,0.04,-0.03,0.31
0.053,0.04,-0.03,0.31
0.054,0.13,0.11,0.18
0.054,0.13,0.11,0.18
0.055,0.13,0.11,0.18
0.058,0.13,0.11,0.18
0.059,0.13,0.11,0.18
0.06,0.13,0.11,0.18
0.063,0.05,0.19,0.27
0.064,0.05,0.19,0.27
0.065,0.05,0.19,0.27
0.066,0.05,0.19,0.27
0.069,0.05,0.19,0.27
0.07,0.05,0.19,0.27
0.073,-0.09,0.29,0.23
0.073,-0.09,0.29,0.23
0.074,-0.09,0.29,0.23
0.076,-0.09,0.29,0.23
0.079,-0.09,0.29,0.23
0.086,-0.09,0.29,0.23
0.087,-0.12,0.28,0.23
0.088,-0.12,0.28,0.23
0.089,-0.12,0.28,0.23
0.089,-0.12,0.28,0.23
0.09,-0.12,0.28,0.23
0.091,-0.12,0.28,0.23
0.093,0.02,0.21,0.28
0.094,0.02,0.21,0.28
0.095,0.02,0.21,0.28
0.103,0.02,0.21,0.28
0.104,0.02,0.21,0.28
0.105,0.02,0.21,0.28
0.107,0.18,0.1,0.34
0.108,0.18,0.1,0.34
0.109,0.18,0.1,0.34
0.11,0.18,0.1,0.34
0.122,0.18,0.1,0.34
0.122,0.18,0.1,0.34
0.123,0.27,0.04,0.32
0.123,0.27,0.04,0.32
0.123,0.27,0.04,0.32
0.124,0.27,0.04,0.32
0.124,0.27,0.04,0.32
0.124,0.27,0.04,0.32
0.125,0.3,-0.04,0.22
0.125,0.3,-0.04,0.22
0.125,0.3,-0.04,0.22
0.126,0.3,-0.04,0.22
0.13,0.3,-0.04,0.22
0.132,0.3,-0.04,0.22
0.133,0.28,-0.11,0.19
0.133,0.28,-0.11,0.19
0.134,0.28,-0.11,0.19
0.136,0.28,-0.11,0.19
0.138,0.28,-0.11,0.19
0.14,0.28,-0.11,0.19
0.143,0.23,-0.05,0.2
0.144,0.23,-0.05,0.2
0.155,0.23,-0.05,0.2
0.156,0.23,-0.05,0.2
0.156,0.23,-0.05,0.2
0.157,0.23,-0.05,0.2
0.157,0.06,0.02,0.18
0.158,0.06,0.02,0.18
0.158,0.06,0.02,0.18
0.159,0.06,0.02,0.18
0.159,0.06,0.02,0.18
0.164,0.06,0.02,0.18
0.167,-0.07,0,0.08
0.2,-0.07,0,0.08
0.201,-0.07,0,0.08
0.201,-0.07,0,0.08
0.202,-0.07,0,0.08
0.202,-0.07,0,0.08
0.202,-0.12,0.03,-0.01
0.203,-0.12,0.03,-0.01
0.203,-0.12,0.03,-0.01
0.204,-0.12,0.03,-0.01
0.204,-0.12,0.03,-0.01
0.205,-0.12,0.03,-0.01
0.205,-0.08,0.04,-0.11
0.205,-0.08,0.04,-0.11
0.206,-0.08,0.04,-0.11
0.206,-0.08,0.04,-0.11
0.207,-0.08,0.04,-0.11
0.207,-0.08,0.04,-0.11
0.207,-0.02,0.05,-0.21
0.208,-0.02,0.05,-0.21
0.208,-0.02,0.05,-0.21
0.209,-0.02,0.05,-0.21
0.209,-0.02,0.05,-0.21
0.21,-0.02,0.05,-0.21
