time,ax,ay,az
0.003,0.14,-0.35,0.12
0.003,0.14,-0.35,0.12
0.004,0.14,-0.35,0.12
0.004,0.14,-0.35,0.12
0.004,0.14,-0.35,0.12
0.005,0.14,-0.35,0.12
0.005,0.09,-0.43,-0.3
0.005,0.09,-0.43,-0.3
0.006,0.09,-0.43,-0.3
0.006,0.09,-0.43,-0.3
0.006,0.09,-0.43,-0.3
0.009,0.09,-0.43,-0.3
0.01,0.23,-0.53,-0.64
0.01,0.23,-0.53,-0.64
0.014,0.23,-0.53,-0.64
0.014,0.23,-0.53,-0.64
0.015,0.23,-0.53,-0.64
0.017,0.23,-0.53,-0.64
0.019,0.37,-0.77,-0.95
0.019,0.37,-0.77,-0.95
0.022,0.37,-0.77,-0.95
0.026,0.37,-0.77,-0.95
0.026,0.37,-0.77,-0.95
0.027,0.37,-0.77,-0.95
0.029,0.67,-0.92,-1.08
0.03,0.67,-0.92,-1.08
0.032,0.67,-0.92,-1.08
0.034,0.67,-0.92,-1.08
0.036,0.67,-0.92,-1.08
0.038,0.67,-0.92,-1.08
0.039,1.09,-1.07,-1.09
0.042,1.09,-1.07,-1.09
0.042,1.09,-1.07,-1.09
0.043,1.09,-1.07,-1.09
0.045,1.09,-1.07,-1.09
0.047,1.09,-1.07,-1.09
0.049,1.34,-1.28,-1.12
0.05,1.34,-1.28,-1.12
0.052,1.34,-1.28,-1.12
0.054,1.34,-1.28,-1.12
0.055,1.34,-1.28,-1.12
0.07,1.34,-1.28,-1.12
0.071,1.27,-1.49,-1.15
0.075,1.27,-1.49,-1.15
0.075,1.27,-1.49,-1.15
0.075,1.27,-1.49,-1.15
0.076,1.27,-1.49,-1.15
0.076,1.27,-1.49,-1.15
0.076,1.34,-1.38,-1.02
0.077,1.34,-1.38,-1.02
0.077,1.34,-1.38,-1.02
0.077,1.34,-1.38,-1.02
0.077,1.34,-1.38,-1.02
0.078,1.34,-1.38,-1.02
0.102,0.88,-1.32,-0.74
0.103,0.88,-1.32,-0.74
0.103,0.88,-1.32,-0.74
0.104,0.88,-1.32,-0.74
0.104,0.88,-1.32,-0.74
0.104,0.88,-1.32,-0.74
0.105,0.06,-1.28,-0.61
0.105,0.06,-1.28,-0.61
0.105,0.06,-1.28,-0.61
0.106,0.06,-1.28,-0.61
0.106,0.06,-1.28,-0.61
0.106,0.06,-1.28,-0.61
0.106,0.33,-1.05,0.09
0.107,0.33,-1.05,0.09
0.107,0.33,-1.05,0.09
0.107,0.33,-1.05,0.09
0.124,0.33,-1.05,0.09
0.124,0.33,-1.05,0.09
0.125,0.61,-0.5,0.49
0.125,0.61,-0.5,0.49
0.126,0.61,-0.5,0.49
0.126,0.61,-0.5,0.49
0.126,0.61,-0.5,0.49
0.127,0.61,-0.5,0.49
0.127,0.13,-0.03,-0.14
0.128,0.13,-0.03,-0.14
0.128,0.13,-0.03,-0.14
0.128,0.13,-0.03,-0.14
0.129,0.13,-0.03,-0.14
0.129,0.13,-0.03,-0.14
0.13,-0.19,-0.12,-0.66
0.13,-0.19,-0.12,-0.66
0.134,-0.19,-0.12,-0.66
0.135,-0.19,-0.12,-0.66
0.136,-0.19,-0.12,-0.66
0.137,-0.19,-0.12,-0.66
0.14,-0.08,-0.35,-1.14
0.141,-0.08,-0.35,-1.14
0.142,-0.08,-0.35,-1.14
0.143,-0.08,-0.35,-1.14
0.145,-0.08,-0.35,-1.14
0.147,-0.08,-0.35,-1.14
0.149,0.08,-0.69,-2.09
0.149,0.08,-0.69,-2.09
0.152,0.08,-0.69,-2.09
0.154,0.08,-0.69,-2.09
0.157,0.08,-0.69,-2.09
0.158,0.08,-0.69,-2.09
0.16,0.32,-0.97,-3.03
0.161,0.32,-0.97,-3.03
0.162,0.32,-0.97,-3.03
0.163,0.32,-0.97,-3.03
0.165,0.32,-0.97,-3.03
0.167,0.32,-0.97,-3.03
0.169,0.37,-1.06,-3.4
0.169,0.37,-1.06,-3.4
0.172,0.37,-1.06,-3.4
0.174,0.37,-1.06,-3.4
0.175,0.37,-1.06,-3.4
0.178,0.37,-1.06,-3.4
0.179,0.54,-1.19,-3.24
0.179,0.54,-1.19,-3.24
0.185,0.54,-1.19,-3.24
0.186,0.54,-1.19,-3.24
0.187,0.54,-1.19,-3.24
0.188,0.54,-1.19,-3.24
0.192,0.82,-1.85,-3.09
0.193,0.82,-1.85,-3.09
0.193,0.82,-1.85,-3.09
0.194,0.82,-1.85,-3.09
0.197,0.82,-1.85,-3.09
0.198,0.82,-1.85,-3.09
0.2,1.06,-2.82,-2.83
0.201,1.06,-2.82,-2.83
0.202,1.06,-2.82,-2.83
0.203,1.06,-2.82,-2.83
0.205,1.06,-2.82,-2.83
