time,ax,ay,az
0.003,0.17,0.12,-2.3
0.004,0.17,0.12,-2.3
0.004,0.33,0.13,-2.49
0.004,0.33,0.13,-2.49
0.005,0.33,0.13,-2.49
0.005,0.33,0.13,-2.49
0.005,0.33,0.13,-2.49
0.022,0.33,0.13,-2.49
0.023,0.21,0.3,-2.64
0.023,0.21,0.3,-2.64
0.024,0.21,0.3,-2.64
0.024,0.21,0.3,-2.64
0.024,0.21,0.3,-2.64
0.024,0.21,0.3,-2.64
0.025,0.06,0.39,-2.55
0.025,0.06,0.39,-2.55
0.025,0.06,0.39,-2.55
0.026,0.06,0.39,-2.55
0.026,0.06,0.39,-2.55
0.026,0.06,0.39,-2.55
0.036,-0.07,0.37,-2.14
0.037,-0.07,0.37,-2.14
0.038,-0.07,0.37,-2.14
0.038,-0.07,0.37,-2.14
0.039,-0.07,0.37,-2.14
0.039,-0.07,0.37,-2.14
0.039,-0.26,0.25,-1.61
0.04,-0.26,0.25,-1.61
0.04,-0.26,0.25,-1.61
0.051,-0.26,0.25,-1.61
0.052,-0.26,0.25,-1.61
0.052,-0.26,0.25,-1.61
0.053,-0.58,0.2,-1.14
0.054,-0.58,0.2,-1.14
0.054,-0.58,0.2,-1.14
0.055,-0.58,0.2,-1.14
0.061,-0.58,0.2,-1.14
0.062,-0.58,0.2,-1.14
0.063,-0.73,0.15,-0.9
0.064,-0.73,0.15,-0.9
0.065,-0.73,0.15,-0.9
0.066,-0.73,0.15,-0.9
0.075,-0.73,0.15,-0.9
0.076,-0.73,0.15,-0.9
0.076,-0.72,0.19,-0.77
0.077,-0.72,0.19,-0.77
0.077,-0.72,0.19,-0.77
0.077,-0.72,0.19,-0.77
0.078,-0.72,0.19,-0.77
0.078,-0.72,0.19,-0.77
0.096,-0.76,0.29,-0.88
0.097,-0.76,0.29,-0.88
0.097,-0.76,0.29,-0.88
0.098,-0.76,0.29,-0.88
0.098,-0.76,0.29,-0.88
0.099,-0.76,0.29,-0.88
0.099,-0.51,0.44,-1.27
0.099,-0.51,0.44,-1.27
0.1,-0.51,0.44,-1.27
0.1,-0.51,0.44,-1.27
0.101,-0.51,0.44,-1.27
0.101,-0.51,0.44,-1.27
0.101,-0.39,0.91,-1.35
0.102,-0.39,0.91,-1.35
0.102,-0.39,0.91,-1.35
0.108,-0.39,0.91,-1.35
0.108,-0.39,0.91,-1.35
0.109,-0.39,0.91,-1.35
0.109,0.27,1.22,-1.58
0.109,0.27,1.22,-1.58
0.111,0.27,1.22,-1.58
0.112,0.27,1.22,-1.58
0.115,0.27,1.22,-1.58
0.117,0.27,1.22,-1.58
0.121,0.6,1.05,-1.22
0.122,0.6,1.05,-1.22
0.124,0.6,1.05,-1.22
0.124,0.6,1.05,-1.22
0.127,0.6,1.05,-1.22
0.128,0.6,1.05,-1.22
0.129,0.38,1.13,-0.72
0.13,0.38,1.13,-0.72
0.131,0.38,1.13,-0.72
0.133,0.38,1.13,-0.72
0.135,0.38,1.13,-0.72
0.137,0.38,1.13,-0.72
0.139,0.22,1.25,-0.25
0.14,0.22,1.25,-0.25
0.141,0.22,1.25,-0.25
0.143,0.22,1.25,-0.25
0.145,0.22,1.25,-0.25
0.147,0.22,1.25,-0.25
0.15,0.27,1.35,-0.05
0.151,0.27,1.35,-0.05
0.152,0.27,1.35,-0.05
0.158,0.27,1.35,-0.05
0.16,0.27,1.35,-0.05
0.161,0.27,1.35,-0.05
0.161,0.25,1.38,-0.02
0.162,0.25,1.38,-0.02
0.162,0.25,1.38,-0.02
0.163,0.25,1.38,-0.02
0.165,0.25,1.38,-0.02
0.167,0.25,1.38,-0.02
0.169,-0.04,1.18,0.16
0.171,-0.04,1.18,0.16
0.173,-0.04,1.18,0.16
0.174,-0.04,1.18,0.16
0.175,-0.04,1.18,0.16
0.189,-0.04,1.18,0.16
0.189,-0.8,0.82,0.33
0.19,-0.8,0.82,0.33
0.19,-0.8,0.82,0.33
0.19,-0.8,0.82,0.33
0.19,-0.8,0.82,0.33
0.191,-0.8,0.82,0.33
0.191,-1.78,0.53,0.55
0.191,-1.78,0.53,0.55
0.191,-1.78,0.53,0.55
0.211,-1.78,0.53,0.55
0.212,-1.78,0.53,0.55
0.212,-1.78,0.53,0.55
0.213,-2.12,0.21,1.47
0.213,-2.12,0.21,1.47
0.213,-2.12,0.21,1.47
0.213,-2.12,0.21,1.47
0.213,-2.12,0.21,1.47
0.213,-2.12,0.21,1.47
0.214,-1.98,0.06,1.78
0.214,-1.98,0.06,1.78
0.214,-1.98,0.06,1.78
0.214,-1.98,0.06,1.78
0.214,-1.98,0.06,1.78
0.216,-1.98,0.06,1.78
0.229,-1.48,-0.05,1.39
0.231,-1.48,-0.05,1.39
0.231,-1.48,-0.05,1.39
0.232,-1.48,-0.05,1.39
0.233,-1.48,-0.05,1.39
0.233,-1.48,-0.05,1.39
0.234,-1.03,-0.14,1.06
0.235,-1.03,-0.14,1.06
0.264,-1.03,-0.14,1.06
0.264,-1.03,-0.14,1.06
0.265,-1.03,-0.14,1.06
0.265,-1.03,-0.14,1.06
0.266,-0.66,-0.12,0.89
0.266,-0.66,-0.12,0.89
0.266,-0.66,-0.12,0.89
0.267,-0.66,-0.12,0.89
0.267,-0.66,-0.12,0.89
0.268,-0.66,-0.12,0.89
0.268,-0.33,-0.06,1.11
0.268,-0.33,-0.06,1.11
0.269,-0.33,-0.06,1.11
0.269,-0.33,-0.06,1.11
0.27,-0.33,-0.06,1.11
0.27,-0.33,-0.06,1.11
0.27,-0.44,0.22,1.05
0.271,-0.44,0.22,1.05
0.271,-0.44,0.22,1.05
0.272,-0.44,0.22,1.05
0.272,-0.44,0.22,1.05
0.272,-0.44,0.22,1.05
0.273,-0.66,0.19,0.55
0.273,-0.66,0.19,0.55
0.273,-0.66,0.19,0.55
0.274,-0.66,0.19,0.55
0.286,-0.66,0.19,0.55
0.287,-0.66,0.19,0.55
0.287,-0.76,0.02,0
0.288,-0.76,0.02,0
0.288,-0.76,0.02,0
0.288,-0.76,0.02,0
0.29,-0.76,0.02,0
0.29,-0.76,0.02,0
0.291,-0.91,0.05,0.15
0.291,-0.91,0.05,0.15
0.291,-0.91,0.05,0.15
0.297,-0.91,0.05,0.15
0.297,-0.91,0.05,0.15
0.298,-0.91,0.05,0.15
0.301,-1.1,0.36,0.64
0.302,-1.1,0.36,0.64
0.302,-1.1,0.36,0.64
0.302,-1.1,0.36,0.64
0.323,-1.1,0.36,0.64
0.324,-1.1,0.36,0.64
0.324,-1.23,0.75,1.06
0.324,-1.23,0.75,1.06
0.324,-1.23,0.75,1.06
0.324,-1.23,0.75,1.06
0.324,-1.23,0.75,1.06
0.325,-1.23,0.75,1.06
0.325,-1.13,0.86,1.26
0.325,-1.13,0.86,1.26
0.325,-1.13,0.86,1.26
0.325,-1.13,0.86,1.26
0.341,-1.13,0.86,1.26
0.341,-1.13,0.86,1.26
0.341,-0.9,0.96,1.47
0.342,-0.9,0.96,1.47
0.342,-0.9,0.96,1.47
0.342,-0.9,0.96,1.47
0.342,-0.9,0.96,1.47
0.343,-0.9,0.96,1.47
0.343,0,1.03,1.62
0.343,0,1.03,1.62
0.343,0,1.03,1.62
0.343,0,1.03,1.62
0.346,0,1.03,1.62
0.347,0,1.03,1.62
0.349,1,0.79,1.91
0.349,1,0.79,1.91
0.35,1,0.79,1.91
0.353,1,0.79,1.91
0.356,1,0.79,1.91
0.357,1,0.79,1.91
0.359,1.39,0.1,1.95
0.359,1.39,0.1,1.95
0.36,1.39,0.1,1.95
0.363,1.39,0.1,1.95
0.364,1.39,0.1,1.95
0.367,1.39,0.1,1.95
0.369,2.05,-0.79,1.8
0.373,2.05,-0.79,1.8
0.373,2.05,-0.79,1.8
0.374,2.05,-0.79,1.8
0.375,2.05,-0.79,1.8
0.377,2.05,-0.79,1.8
0.379,1.54,-1.51,1.03
0.38,1.54,-1.51,1.03
0.381,1.54,-1.51,1.03
0.383,1.54,-1.51,1.03
0.385,1.54,-1.51,1.03
0.387,1.54,-1.51,1.03
0.389,0.63,-1.77,0.84
0.389,0.63,-1.77,0.84
0.391,0.63,-1.77,0.84
0.393,0.63,-1.77,0.84
0.395,0.63,-1.77,0.84
0.397,0.63,-1.77,0.84
0.423,0.49,-1.78,0.74
0.423,0.49,-1.78,0.74
0.424,0.49,-1.78,0.74
0.424,0.49,-1.78,0.74
0.424,0.49,-1.78,0.74
0.425,0.49,-1.78,0.74
0.425,0.43,-2.04,-1.98
0.425,0.43,-2.04,-1.98
0.425,0.43,-2.04,-1.98
0.426,0.43,-2.04,-1.98
0.426,0.43,-2.04,-1.98
0.426,0.43,-2.04,-1.98
0.426,0.07,-1.44,-1.51
0.427,0.07,-1.44,-1.51
0.427,0.07,-1.44,-1.51
0.427,0.07,-1.44,-1.51
0.428,0.07,-1.44,-1.51
0.428,0.07,-1.44,-1.51
0.43,0.79,-1.35,-0.03
0.431,0.79,-1.35,-0.03
0.431,0.79,-1.35,-0.03
0.433,0.79,-1.35,-0.03
0.444,0.79,-1.35,-0.03
0.445,0.79,-1.35,-0.03
0.445,2.1,-2.02,-0.88
0.445,2.1,-2.02,-0.88
0.445,2.1,-2.02,-0.88
0.446,2.1,-2.02,-0.88
0.446,2.1,-2.02,-0.88
0.449,2.1,-2.02,-0.88
0.45,2.09,-2.67,-1.2
0.45,2.09,-2.67,-1.2
0.46,2.09,-2.67,-1.2
0.461,2.09,-2.67,-1.2
0.461,2.09,-2.67,-1.2
0.461,2.09,-2.67,-1.2
0.461,1.53,-2.99,-1.15
0.461,1.53,-2.99,-1.15
0.462,1.53,-2.99,-1.15
0.463,1.53,-2.99,-1.15
0.465,1.53,-2.99,-1.15
0.467,1.53,-2.99,-1.15
0.483,1.59,-3.43,-2.08
0.484,1.59,-3.43,-2.08
0.484,1.59,-3.43,-2.08
0.484,1.59,-3.43,-2.08
0.484,1.59,-3.43,-2.08
0.484,1.59,-3.43,-2.08
0.484,2.43,-3.42,-4.14
0.484,2.43,-3.42,-4.14
0.484,2.43,-3.42,-4.14
0.485,2.43,-3.42,-4.14
0.485,2.43,-3.42,-4.14
0.49,2.43,-3.42,-4.14
0.491,1.15,-2.88,-2.81
0.491,1.15,-2.88,-2.81
0.492,1.15,-2.88,-2.81
0.492,1.15,-2.88,-2.81
0.494,1.15,-2.88,-2.81
0.496,1.15,-2.88,-2.81
0.499,0.36,-3.48,-1.04
0.499,0.36,-3.48,-1.04
0.501,0.36,-3.48,-1.04
0.503,0.36,-3.48,-1.04
0.504,0.36,-3.48,-1.04
0.506,0.36,-3.48,-1.04
0.509,1.17,-3.22,-0.64
0.509,1.17,-3.22,-0.64
0.511,1.17,-3.22,-0.64
0.512,1.17,-3.22,-0.64
0.514,1.17,-3.22,-0.64
0.517,1.17,-3.22,-0.64
0.519,2.05,-2.77,-0.34
0.519,2.05,-2.77,-0.34
0.52,2.05,-2.77,-0.34
0.522,2.05,-2.77,-0.34
0.524,2.05,-2.77,-0.34
0.526,2.05,-2.77,-0.34
0.529,2.72,-3.13,-1.21
0.529,2.72,-3.13,-1.21
0.53,2.72,-3.13,-1.21
0.532,2.72,-3.13,-1.21
0.535,2.72,-3.13,-1.21
0.536,2.72,-3.13,-1.21
0.539,3.14,-3.43,-2.13
0.54,3.14,-3.43,-2.13
0.54,3.14,-3.43,-2.13
0.543,3.14,-3.43,-2.13
0.544,3.14,-3.43,-2.13
0.546,3.14,-3.43,-2.13
0.549,3.64,-3.89,-2.76
0.55,3.64,-3.89,-2.76
0.552,3.64,-3.89,-2.76
0.553,3.64,-3.89,-2.76
0.555,3.64,-3.89,-2.76
0.556,3.64,-3.89,-2.76
0.559,4.01,-4.05,-3.57
0.559,4.01,-4.05,-3.57
0.56,4.01,-4.05,-3.57
0.562,4.01,-4.05,-3.57
0.588,4.01,-4.05,-3.57
0.589,4.01,-4.05,-3.57
0.589,4.12,-4.29,-3.84
0.59,4.12,-4.29,-3.84
0.59,4.12,-4.29,-3.84
0.59,4.12,-4.29,-3.84
0.591,4.12,-4.29,-3.84
0.591,4.12,-4.29,-3.84
0.592,3.88,-4.22,-3.59
0.592,3.88,-4.22,-3.59
0.592,3.88,-4.22,-3.59
0.593,3.88,-4.22,-3.59
0.593,3.88,-4.22,-3.59
0.594,3.88,-4.22,-3.59
0.594,2.98,-4.1,-2.78
0.594,2.98,-4.1,-2.78
0.595,2.98,-4.1,-2.78
0.595,2.98,-4.1,-2.78
0.595,2.98,-4.1,-2.78
0.599,2.98,-4.1,-2.78
0.6,2.24,-3.69,-1.45
0.601,2.24,-3.69,-1.45
0.601,2.24,-3.69,-1.45
0.604,2.24,-3.69,-1.45
0.604,2.24,-3.69,-1.45
0.607,2.24,-3.69,-1.45
0.609,2.2,-3.58,0.11
0.609,2.2,-3.58,0.11
0.611,2.2,-3.58,0.11
0.613,2.2,-3.58,0.11
0.615,2.2,-3.58,0.11
0.621,2.2,-3.58,0.11
0.623,2.66,-3.25,1.25
0.624,2.66,-3.25,1.25
0.625,2.66,-3.25,1.25
0.625,2.66,-3.25,1.25
0.626,2.66,-3.25,1.25
0.627,2.66,-3.25,1.25
0.629,3.18,-3.14,2.15
0.631,3.18,-3.14,2.15
0.632,3.18,-3.14,2.15
0.654,3.18,-3.14,2.15
0.654,3.18,-3.14,2.15
0.655,3.18,-3.14,2.15
0.655,3.32,-3.1,2.57
0.655,3.32,-3.1,2.57
0.655,3.32,-3.1,2.57
0.655,3.32,-3.1,2.57
