time,ax,ay,az
0.002,0.04,0.03,-0.23
0.003,0.04,0.03,-0.23
0.003,-0.04,-0.1,-0.21
0.003,-0.04,-0.1,-0.21
0.004,-0.04,-0.1,-0.21
0.004,-0.04,-0.1,-0.21
0.004,-0.04,-0.1,-0.21
0.008,-0.04,-0.1,-0.21
0.008,-0.08,-0.29,-0.42
0.009,-0.08,-0.29,-0.42
0.01,-0.08,-0.29,-0.42
0.014,-0.08,-0.29,-0.42
0.015,-0.08,-0.29,-0.42
0.016,-0.08,-0.29,-0.42
0.022,-0.08,-0.46,-0.68
0.029,-0.08,-0.46,-0.68
0.029,-0.08,-0.46,-0.68
0.03,-0.08,-0.46,-0.68
0.03,-0.08,-0.46,-0.68
0.03,-0.08,-0.46,-0.68
0.03,-0.19,-0.53,-0.86
0.03,-0.19,-0.53,-0.86
0.031,-0.19,-0.53,-0.86
0.033,-0.19,-0.53,-0.86
0.034,-0.19,-0.53,-0.86
0.035,-0.19,-0.53,-0.86
0.038,-0.23,-0.57,-0.88
0.038,-0.23,-0.57,-0.88
0.039,-0.23,-0.57,-0.88
0.042,-0.23,-0.57,-0.88
0.044,-0.23,-0.57,-0.88
0.046,-0.23,-0.57,-0.88
0.048,-0.17,-0.59,-0.86
0.048,-0.17,-0.59,-0.86
0.049,-0.17,-0.59,-0.86
0.051,-0.17,-0.59,-0.86
0.053,-0.17,-0.59,-0.86
0.055,-0.17,-0.59,-0.86
0.059,-0.33,-0.46,-0.8
0.059,-0.33,-0.46,-0.8
0.06,-0.33,-0.46,-0.8
0.061,-0.33,-0.46,-0.8
0.063,-0.33,-0.46,-0.8
0.065,-0.33,-0.46,-0.8
0.068,-0.5,-0.16,-0.78
0.068,-0.5,-0.16,-0.78
0.069,-0.5,-0.16,-0.78
0.071,-0.5,-0.16,-0.78
0.075,-0.5,-0.16,-0.78
0.076,-0.5,-0.16,-0.78
0.078,-0.83,0.03,-0.82
0.079,-0.83,0.03,-0.82
0.079,-0.83,0.03,-0.82
0.081,-0.83,0.03,-0.82
0.083,-0.83,0.03,-0.82
0.085,-0.83,0.03,-0.82
0.087,-1.38,0.28,-0.78
0.088,-1.38,0.28,-0.78
0.089,-1.38,0.28,-0.78
0.093,-1.38,0.28,-0.78
0.093,-1.38,0.28,-0.78
0.096,-1.38,0.28,-0.78
0.098,-1.75,0.49,-0.75
0.098,-1.75,0.49,-0.75
0.099,-1.75,0.49,-0.75
0.101,-1.75,0.49,-0.75
0.103,-1.75,0.49,-0.75
0.105,-1.75,0.49,-0.75
0.108,-1.82,0.7,-0.83
0.108,-1.82,0.7,-0.83
0.11,-1.82,0.7,-0.83
0.112,-1.82,0.7,-0.83
0.114,-1.82,0.7,-0.83
0.143,-1.82,0.7,-0.83
0.143,-1.75,0.7,-0.96
0.143,-1.75,0.7,-0.96
0.144,-1.75,0.7,-0.96
0.144,-1.75,0.7,-0.96
0.144,-1.75,0.7,-0.96
0.144,-1.75,0.7,-0.96
0.145,-1.84,0.58,-1.03
0.145,-1.84,0.58,-1.03
0.145,-1.84,0.58,-1.03
0.146,-1.84,0.58,-1.03
0.146,-1.84,0.58,-1.03
0.146,-1.84,0.58,-1.03
0.146,-1.68,0.34,-1.1
0.147,-1.68,0.34,-1.1
0.147,-1.68,0.34,-1.1
0.147,-1.68,0.34,-1.1
0.147,-1.68,0.34,-1.1
0.148,-1.68,0.34,-1.1
0.15,-1.5,0.24,-1.1
0.15,-1.5,0.24,-1.1
0.151,-1.5,0.24,-1.1
0.152,-1.5,0.24,-1.1
0.153,-1.5,0.24,-1.1
0.155,-1.5,0.24,-1.1
0.158,-1.32,0.31,-0.79
0.158,-1.32,0.31,-0.79
0.175,-1.32,0.31,-0.79
0.175,-1.32,0.31,-0.79
0.175,-1.32,0.31,-0.79
0.176,-1.32,0.31,-0.79
0.176,-1.17,0.28,-0.76
0.176,-1.17,0.28,-0.76
0.176,-1.17,0.28,-0.76
0.176,-1.17,0.28,-0.76
0.176,-1.17,0.28,-0.76
0.179,-1.17,0.28,-0.76
0.179,-0.73,0.09,-0.94
0.18,-0.73,0.09,-0.94
0.189,-0.73,0.09,-0.94
0.19,-0.73,0.09,-0.94
0.19,-0.73,0.09,-0.94
0.19,-0.73,0.09,-0.94
0.19,-0.68,-0.2,-1.04
0.19,-0.68,-0.2,-1.04
0.191,-0.68,-0.2,-1.04
0.195,-0.68,-0.2,-1.04
0.195,-0.68,-0.2,-1.04
0.195,-0.68,-0.2,-1.04
0.199,-0.48,-0.24,-0.9
0.199,-0.48,-0.24,-0.9
0.2,-0.48,-0.24,-0.9
0.202,-0.48,-0.24,-0.9
0.204,-0.48,-0.24,-0.9
0.206,-0.48,-0.24,-0.9
0.21,-0.21,-0.23,-0.84
0.21,-0.21,-0.23,-0.84
0.212,-0.21,-0.23,-0.84
0.213,-0.21,-0.23,-0.84
0.214,-0.21,-0.23,-0.84
0.216,-0.21,-0.23,-0.84
0.218,-0.22,-0.22,-0.7
0.218,-0.22,-0.22,-0.7
0.219,-0.22,-0.22,-0.7
0.223,-0.22,-0.22,-0.7
0.224,-0.22,-0.22,-0.7
0.228,-0.22,-0.22,-0.7
0.231,-0.54,-0.11,-0.42
0.231,-0.54,-0.11,-0.42
0.232,-0.54,-0.11,-0.42
0.232,-0.54,-0.11,-0.42
0.236,-0.54,-0.11,-0.42
0.236,-0.54,-0.11,-0.42
0.24,-0.89,0.17,-0.34
0.24,-0.89,0.17,-0.34
0.24,-0.89,0.17,-0.34
0.247,-0.89,0.17,-0.34
0.248,-0.89,0.17,-0.34
0.248,-0.89,0.17,-0.34
0.248,-1.04,0.42,-0.41
0.248,-1.04,0.42,-0.41
0.25,-1.04,0.42,-0.41
0.252,-1.04,0.42,-0.41
0.255,-1.04,0.42,-0.41
0.256,-1.04,0.42,-0.41
0.258,-0.98,0.54,-0.3
0.259,-0.98,0.54,-0.3
0.259,-0.98,0.54,-0.3
0.262,-0.98,0.54,-0.3
0.264,-0.98,0.54,-0.3
0.265,-0.98,0.54,-0.3
0.267,-0.73,0.35,-0.33
0.268,-0.73,0.35,-0.33
0.269,-0.73,0.35,-0.33
0.273,-0.73,0.35,-0.33
0.274,-0.73,0.35,-0.33
0.284,-0.73,0.35,-0.33
0.285,-0.38,-0.03,-0.43
0.285,-0.38,-0.03,-0.43
0.285,-0.38,-0.03,-0.43
0.285,-0.38,-0.03,-0.43
0.285,-0.38,-0.03,-0.43
0.285,-0.38,-0.03,-0.43
0.304,-0.3,-0.32,-0.26
0.304,-0.3,-0.32,-0.26
0.304,-0.3,-0.32,-0.26
0.304,-0.3,-0.32,-0.26
0.304,-0.3,-0.32,-0.26
0.304,-0.3,-0.32,-0.26
0.305,-0.16,-0.46,-0.18
0.305,-0.16,-0.46,-0.18
0.305,-0.16,-0.46,-0.18
0.305,-0.16,-0.46,-0.18
0.305,-0.16,-0.46,-0.18
0.309,-0.16,-0.46,-0.18
