time,ax,ay,az
0.003,-1.49,0.06,-1.86
0.003,-1.54,0.06,-2.18
0.004,-1.54,0.06,-2.18
0.004,-1.54,0.06,-2.18
0.004,-1.54,0.06,-2.18
0.004,-1.54,0.06,-2.18
0.006,-1.54,0.06,-2.18
0.007,-1.66,0.34,-2.25
0.007,-1.66,0.34,-2.25
0.012,-1.66,0.34,-2.25
0.012,-1.66,0.34,-2.25
0.014,-1.66,0.34,-2.25
0.016,-1.66,0.34,-2.25
0.018,-1.61,0.37,-1.9
0.018,-1.61,0.37,-1.9
0.02,-1.61,0.37,-1.9
0.022,-1.61,0.37,-1.9
0.023,-1.61,0.37,-1.9
0.026,-1.61,0.37,-1.9
0.028,-1.26,0.36,-1.95
0.028,-1.26,0.36,-1.95
0.03,-1.26,0.36,-1.95
0.033,-1.26,0.36,-1.95
0.034,-1.26,0.36,-1.95
0.036,-1.26,0.36,-1.95
0.038,-0.73,0.34,-2.7
0.039,-0.73,0.34,-2.7
0.04,-0.73,0.34,-2.7
0.041,-0.73,0.34,-2.7
0.046,-0.73,0.34,-2.7
0.054,-0.73,0.34,-2.7
0.055,-0.58,0.13,-3.72
0.055,-0.58,0.13,-3.72
0.056,-0.58,0.13,-3.72
0.056,-0.58,0.13,-3.72
0.056,-0.58,0.13,-3.72
0.056,-0.58,0.13,-3.72
0.06,-0.66,-0.51,-3.18
0.06,-0.66,-0.51,-3.18
0.061,-0.66,-0.51,-3.18
0.062,-0.66,-0.51,-3.18
0.074,-0.66,-0.51,-3.18
0.074,-0.66,-0.51,-3.18
0.074,-1.33,-1.02,-2.11
0.075,-1.33,-1.02,-2.11
0.075,-1.33,-1.02,-2.11
0.075,-1.33,-1.02,-2.11
0.075,-1.33,-1.02,-2.11
0.076,-1.33,-1.02,-2.11
0.081,-2.01,-1.21,-1.23
0.081,-2.01,-1.21,-1.23
0.082,-2.01,-1.21,-1.23
0.083,-2.01,-1.21,-1.23
0.084,-2.01,-1.21,-1.23
0.086,-2.01,-1.21,-1.23
0.088,-2.47,-1.33,-0.55
0.089,-2.47,-1.33,-0.55
0.091,-2.47,-1.33,-0.55
0.092,-2.47,-1.33,-0.55
0.102,-2.47,-1.33,-0.55
0.103,-2.47,-1.33,-0.55
0.103,-2.36,-1.27,0.14
0.104,-2.36,-1.27,0.14
0.104,-2.36,-1.27,0.14
0.105,-2.36,-1.27,0.14
0.105,-2.36,-1.27,0.14
0.106,-2.36,-1.27,0.14
0.108,-1.87,-0.95,0.64
0.108,-1.87,-0.95,0.64
0.111,-1.87,-0.95,0.64
0.114,-1.87,-0.95,0.64
0.114,-1.87,-0.95,0.64
0.116,-1.87,-0.95,0.64
0.118,-1.11,-0.49,0.96
0.12,-1.11,-0.49,0.96
0.121,-1.11,-0.49,0.96
0.122,-1.11,-0.49,0.96
0.124,-1.11,-0.49,0.96
0.126,-1.11,-0.49,0.96
0.161,-0.66,-0.37,1
0.162,-0.66,-0.37,1
0.162,-0.66,-0.37,1
0.162,-0.66,-0.37,1
0.162,-0.66,-0.37,1
0.162,-0.66,-0.37,1
0.162,-0.35,-0.44,0.64
0.163,-0.35,-0.44,0.64
0.163,-0.35,-0.44,0.64
0.163,-0.35,-0.44,0.64
0.163,-0.35,-0.44,0.64
0.163,-0.35,-0.44,0.64
0.163,-0.27,-0.53,-0.12
0.164,-0.27,-0.53,-0.12
0.164,-0.27,-0.53,-0.12
0.164,-0.27,-0.53,-0.12
0.164,-0.27,-0.53,-0.12
0.164,-0.27,-0.53,-0.12
0.164,-0.11,-0.46,-0.96
0.164,-0.11,-0.46,-0.96
0.165,-0.11,-0.46,-0.96
0.165,-0.11,-0.46,-0.96
0.165,-0.11,-0.46,-0.96
0.166,-0.11,-0.46,-0.96
0.168,0.6,-0.18,-2.11
0.17,0.6,-0.18,-2.11
0.171,0.6,-0.18,-2.11
0.172,0.6,-0.18,-2.11
0.174,0.6,-0.18,-2.11
0.195,0.6,-0.18,-2.11
