time,ax,ay,az
0.005,0.24,0.08,-0.31
0.007,0.24,0.08,-0.31
0.009,-0.04,-0.03,-0.27
0.096,-0.04,-0.03,-0.27
0.099,-0.04,-0.03,-0.27
0.102,0.61,0.17,-0.25
0.137,0.61,0.17,-0.25
0.139,0.61,0.17,-0.25
0.141,0.29,0.05,-0.47
0.144,0.29,0.05,-0.47
0.179,0.29,0.05,-0.47
0.182,0.29,0.05,-0.47
0.184,0.55,0.02,-0.13
0.227,0.55,0.02,-0.13
0.234,0.55,0.02,-0.13
0.24,0.09,-0.09,-0.28
0.298,0.09,-0.09,-0.28
0.302,0.09,-0.09,-0.28
0.308,0.04,-0.07,-0.42
0.343,0.04,-0.07,-0.42
0.356,0.04,-0.07,-0.42
0.361,0.04,-0.07,-0.42
0.369,0.4,0.01,-0.2
0.417,0.4,0.01,-0.2
0.42,0.4,0.01,-0.2
0.422,0.25,0,-0.17
0.486,0.25,0,-0.17
0.488,0.25,0,-0.17
0.49,0.18,-0.05,-0.22
0.521,0.18,-0.05,-0.22
0.525,0.18,-0.05,-0.22
0.527,0.18,-0.05,-0.22
0.529,0.57,-0.03,-0.26
0.585,0.57,-0.03,-0.26
0.588,0.57,-0.03,-0.26
0.589,0.44,-0.09,-0.05
0.652,0.44,-0.09,-0.05
0.655,0.44,-0.09,-0.05
0.657,0.23,-0.14,0
0.706,0.23,-0.14,0
0.709,0.23,-0.14,0
0.711,0.23,-0.14,0
0.715,0.18,0.03,-0.23
0.768,0.18,0.03,-0.23
0.771,0.18,0.03,-0.23
0.773,0.08,-0.1,-0.23
0.835,0.08,-0.1,-0.23
0.842,0.08,-0.1,-0.23
0.847,0.21,-0.07,-1.15
0.86,0.21,-0.07,-1.15
0.888,0.21,-0.07,-1.15
0.893,0.21,-0.07,-1.15
0.895,0.53,0.07,-0.13
0.97,0.53,0.07,-0.13
0.974,0.53,0.07,-0.13
0.976,0.59,0.12,-0.85
1.034,0.59,0.12,-0.85
1.038,0.59,0.12,-0.85
1.04,0.36,0.04,-0.64
1.043,0.36,0.04,-0.64
1.072,0.36,0.04,-0.64
1.075,0.36,0.04,-0.64
1.077,-0.19,-0.01,-0.24
1.177,-0.19,-0.01,-0.24
1.18,-0.19,-0.01,-0.24
1.182,-0.64,-0.2,-0.52
1.225,-0.64,-0.2,-0.52
1.227,-0.64,-0.2,-0.52
1.229,0.32,-0.01,-0.66
1.231,0.32,-0.01,-0.66
1.246,0.32,-0.01,-0.66
1.248,0.32,-0.01,-0.66
1.251,-0.15,0.2,-0.88
1.314,-0.15,0.2,-0.88
1.318,-0.15,0.2,-0.88
1.321,-0.19,1.35,-0.84
1.368,-0.19,1.35,-0.84
1.371,-0.19,1.35,-0.84
1.373,-1.28,4.07,0.63
1.402,-1.28,4.07,0.63
1.426,-1.28,4.07,0.63
