time,ax,ay,az
0.004,0.02,0.01,-0.03
0.043,0.02,0.01,-0.03
0.046,0.02,0.01,-0.03
0.093,-0.05,-0.01,0.05
0.097,-0.05,-0.01,0.05
0.101,-0.05,-0.01,0.05
0.103,-0.05,-0.01,0.05
0.144,0.1,0.02,0.34
0.148,0.1,0.02,0.34
0.151,0.1,0.02,0.34
0.198,0.49,-0.21,0.14
0.2,0.49,-0.21,0.14
0.203,0.49,-0.21,0.14
0.28,0.45,-0.01,-0.11
0.284,0.45,-0.01,-0.11
0.286,0.45,-0.01,-0.11
0.288,0.45,-0.01,-0.11
0.297,-0.46,0,0.23
0.33,-0.46,0,0.23
0.334,-0.46,0,0.23
0.383,0.07,0.1,-0.02
0.387,0.07,0.1,-0.02
0.389,0.07,0.1,-0.02
0.419,0.92,-0.01,-0.09
0.467,0.92,-0.01,-0.09
0.469,0.92,-0.01,-0.09
0.471,0.92,-0.01,-0.09
0.479,-0.75,0.45,0.61
0.516,-0.75,0.45,0.61
0.519,-0.75,0.45,0.61
0.577,0.72,0.08,-0.24
0.581,0.72,0.08,-0.24
0.582,0.72,0.08,-0.24
0.612,-1.01,-0.17,-0.47
0.625,-1.01,-0.17,-0.47
0.631,-1.01,-0.17,-0.47
0.633,-1.01,-0.17,-0.47
0.656,0.75,-0.01,-0.03
0.687,0.75,-0.01,-0.03
0.69,0.75,-0.01,-0.03
0.729,-0.2,-0.02,0.03
0.734,-0.2,-0.02,0.03
0.737,-0.2,-0.02,0.03
0.784,0.32,0.18,0.48
0.796,0.32,0.18,0.48
0.798,0.32,0.18,0.48
0.799,0.32,0.18,0.48
0.855,-0.69,-0.16,-0.22
0.858,-0.69,-0.16,-0.22
0.86,-0.69,-0.16,-0.22
0.897,-0.72,-0.23,-0.26
0.914,-0.72,-0.23,-0.26
0.917,-0.72,-0.23,-0.26
0.958,0.08,0.05,0.4
0.98,0.08,0.05,0.4
0.982,0.08,0.05,0.4
0.985,0.08,0.05,0.4
1.02,0.82,0.26,0.27
1.05,0.82,0.26,0.27
1.053,0.82,0.26,0.27
1.096,0.57,0.2,-0.21
1.099,0.57,0.2,-0.21
1.102,0.57,0.2,-0.21
1.149,-0.47,0.04,-0.59
1.16,-0.47,0.04,-0.59
1.162,-0.47,0.04,-0.59
1.164,-0.47,0.04,-0.59
1.202,-0.32,-0.16,-0.4
1.215,-0.32,-0.16,-0.4
1.217,-0.32,-0.16,-0.4
