time,ax,ay,az
0.013,-0.16,-0.14,0.06
0.015,-0.16,-0.14,0.06
0.043,-0.39,-0.18,-0.11
0.075,-0.39,-0.18,-0.11
0.078,-0.39,-0.18,-0.11
0.079,-0.39,-0.18,-0.11
0.095,0.05,-0.07,0.02
0.132,0.05,-0.07,0.02
0.137,0.05,-0.07,0.02
0.158,-0.01,-0.05,0.06
0.192,-0.01,-0.05,0.06
0.195,-0.01,-0.05,0.06
0.215,0,-0.13,-0.01
0.265,0,-0.13,-0.01
0.27,0,-0.13,-0.01
0.272,0,-0.13,-0.01
0.275,-0.15,-0.16,0.13
0.317,-0.15,-0.16,0.13
0.319,-0.15,-0.16,0.13
0.348,-0.11,-0.11,-0.07
0.373,-0.11,-0.11,-0.07
0.375,-0.11,-0.11,-0.07
0.397,0.01,-0.14,0.15
0.439,0.01,-0.14,0.15
0.449,0.01,-0.14,0.15
0.451,0.01,-0.14,0.15
0.456,-0.12,-0.3,0.15
0.497,-0.12,-0.3,0.15
0.5,-0.12,-0.3,0.15
0.516,-0.01,-0.13,-0.11
0.552,-0.01,-0.13,-0.11
0.556,-0.01,-0.13,-0.11
0.583,0.45,0.01,-0.04
0.619,0.45,0.01,-0.04
0.624,0.45,0.01,-0.04
0.626,0.45,0.01,-0.04
0.658,0.49,0.2,-0.8
0.673,0.49,0.2,-0.8
0.676,0.49,0.2,-0.8
0.695,-0.02,-0.23,-0.03
0.741,-0.02,-0.23,-0.03
0.759,-0.02,-0.23,-0.03
0.762,2.69,0.32,-0.66
0.793,2.69,0.32,-0.66
0.797,2.69,0.32,-0.66
0.799,2.69,0.32,-0.66
0.818,0.99,-0.01,-0.38
0.854,0.99,-0.01,-0.38
0.857,0.99,-0.01,-0.38
0.876,1.28,-0.12,0.19
0.925,1.28,-0.12,0.19
0.929,1.28,-0.12,0.19
0.935,2.1,0.67,-0.22
0.973,2.1,0.67,-0.22
0.976,2.1,0.67,-0.22
0.978,2.1,0.67,-0.22
0.995,2.15,0.26,-0.08
1.038,2.15,0.26,-0.08
1.04,2.15,0.26,-0.08
1.064,0.6,-0.19,-0.41
1.094,0.6,-0.19,-0.41
1.097,0.6,-0.19,-0.41
1.116,0.39,0.32,0.21
1.154,0.39,0.32,0.21
1.158,0.39,0.32,0.21
1.16,0.39,0.32,0.21
1.211,-0.58,0.13,0.24
1.216,-0.58,0.13,0.24
1.222,-0.58,0.13,0.24
1.238,-0.54,0.09,0.68
1.274,-0.54,0.09,0.68
1.294,-0.54,0.09,0.68
1.344,-2.06,-0.63,0.97
1.348,-2.06,-0.63,0.97
1.351,-2.06,-0.63,0.97
1.353,-2.06,-0.63,0.97
1.36,-1.11,0.35,0.49
1.394,-1.11,0.35,0.49
1.404,-1.11,0.35,0.49
1.419,-1.28,0.68,-0.08
1.454,-1.28,0.68,-0.08
1.456,-1.28,0.68,-0.08
1.476,-1.78,-0.07,-0.84
1.514,-1.78,-0.07,-0.84
1.516,-1.78,-0.07,-0.84
