time,ax,ay,az
0.003,0,0.12,-0.11
0.006,0,0.12,-0.11
0.008,0,0.12,-0.11
0.009,-0.09,0.19,-0.4
0.066,-0.09,0.19,-0.4
0.068,-0.09,0.19,-0.4
0.07,0.13,-0.04,0
0.136,0.13,-0.04,0
0.139,0.13,-0.04,0
0.14,-0.02,0.03,-0.11
0.187,-0.02,0.03,-0.11
0.19,-0.02,0.03,-0.11
0.192,-0.02,0.03,-0.11
0.194,0.06,0.01,-0.07
0.262,0.06,0.01,-0.07
0.266,0.06,0.01,-0.07
0.269,-0.05,-0.02,-0.13
0.311,-0.05,-0.02,-0.13
0.316,-0.05,-0.02,-0.13
0.318,0.01,-0.02,-0.14
0.36,0.01,-0.02,-0.14
0.362,0.01,-0.02,-0.14
0.364,0.01,-0.02,-0.14
0.366,0.05,0.09,-0.12
0.427,0.05,0.09,-0.12
0.43,0.05,0.09,-0.12
0.432,0.04,0.02,-0.1
0.482,0.04,0.02,-0.1
0.484,0.04,0.02,-0.1
0.486,0.1,0.04,-0.11
0.54,0.1,0.04,-0.11
0.542,0.1,0.04,-0.11
0.544,0.1,0.04,-0.11
0.546,-0.08,0.05,-0.13
0.619,-0.08,0.05,-0.13
0.623,-0.08,0.05,-0.13
0.626,0.08,0.03,-0.09
0.701,0.08,0.03,-0.09
0.705,0.08,0.03,-0.09
0.707,-0.05,0.03,-0.14
0.728,-0.05,0.03,-0.14
0.732,-0.05,0.03,-0.14
0.736,-0.05,0.03,-0.14
0.738,0.19,0.07,-0.1
0.78,0.19,0.07,-0.1
0.783,0.19,0.07,-0.1
0.784,0.04,0.01,-0.18
0.844,0.04,0.01,-0.18
0.85,0.04,0.01,-0.18
0.852,-0.02,0.04,-0.08
0.901,-0.02,0.04,-0.08
0.903,-0.02,0.04,-0.08
0.905,-0.02,0.04,-0.08
0.906,0.03,0.08,-0.15
0.961,0.03,0.08,-0.15
0.966,0.03,0.08,-0.15
0.969,-0.04,0,-0.1
1.03,-0.04,0,-0.1
1.037,-0.04,0,-0.1
1.044,-0.01,0.03,-0.06
1.08,-0.01,0.03,-0.06
1.083,-0.01,0.03,-0.06
1.085,-0.01,0.03,-0.06
1.087,0.05,0.04,-0.11
1.142,0.05,0.04,-0.11
1.145,0.05,0.04,-0.11
1.152,-0.02,-0.03,-0.07
1.202,-0.02,-0.03,-0.07
1.205,-0.02,-0.03,-0.07
1.207,-0.05,-0.09,-0.03
1.285,-0.05,-0.09,-0.03
1.287,-0.05,-0.09,-0.03
1.289,-0.05,-0.09,-0.03
1.291,0.09,0.02,-0.08
1.342,0.09,0.02,-0.08
1.348,0.09,0.02,-0.08
1.35,0.04,0.04,-0.07
1.385,0.04,0.04,-0.07
1.388,0.04,0.04,-0.07
1.389,0.01,0.02,-0.15
1.443,0.01,0.02,-0.15
1.445,0.01,0.02,-0.15
1.447,0.01,0.02,-0.15
1.449,-0.01,0.03,-0.1
1.506,-0.01,0.03,-0.1
1.51,-0.01,0.03,-0.1
1.512,0,0.03,-0.1
1.562,0,0.03,-0.1
1.571,0,0.03,-0.1
1.573,0,0.01,-0.11
1.647,0,0.01,-0.11
1.65,0,0.01,-0.11
1.653,0,0.01,-0.11
1.656,-0.09,0.04,-0.14
1.695,-0.09,0.04,-0.14
1.7,-0.09,0.04,-0.14
1.705,0.02,0.02,-0.12
1.762,0.02,0.02,-0.12
1.765,0.02,0.02,-0.12
1.77,-0.02,0.05,-0.1
1.803,-0.02,0.05,-0.1
1.806,-0.02,0.05,-0.1
1.808,-0.02,0.05,-0.1
1.81,0.01,0,-0.11
1.885,0.01,0,-0.11
1.89,0.01,0,-0.11
1.892,-0.01,0.08,-0.11
1.922,-0.01,0.08,-0.11
1.924,-0.01,0.08,-0.11
1.926,-0.07,0.02,-0.1
1.994,-0.07,0.02,-0.1
1.997,-0.07,0.02,-0.1
1.999,-0.07,0.02,-0.1
2.001,-0.09,0.05,-0.13
2.051,-0.09,0.05,-0.13
2.06,-0.09,0.05,-0.13
2.062,-0.17,0.08,-0.07
2.105,-0.17,0.08,-0.07
2.109,-0.17,0.08,-0.07
2.111,-0.01,0,-0.24
2.162,-0.01,0,-0.24
2.165,-0.01,0,-0.24
2.167,-0.01,0,-0.24
2.169,-0.22,-0.02,-0.32
2.244,-0.22,-0.02,-0.32
2.247,-0.22,-0.02,-0.32
2.249,-0.27,0.09,-0.34
2.319,-0.27,0.09,-0.34
2.326,-0.27,0.09,-0.34
2.328,0.24,0.04,-0.31
2.364,0.24,0.04,-0.31
2.369,0.24,0.04,-0.31
2.371,0.24,0.04,-0.31
2.374,0.83,0.13,-0.14
2.402,0.83,0.13,-0.14
2.405,0.83,0.13,-0.14
2.407,0.95,0.6,-0.23
2.462,0.95,0.6,-0.23
2.465,0.95,0.6,-0.23
2.468,1.07,1.02,-1.62
2.521,1.07,1.02,-1.62
2.524,1.07,1.02,-1.62
2.525,1.07,1.02,-1.62
