time,ax,ay,az
0.047,-0.55,-0.1,-0.31
0.049,-0.55,-0.1,-0.31
0.051,-0.55,-0.1,-0.31
0.09,0,0.11,0.06
0.093,0,0.11,0.06
0.096,0,0.11,0.06
0.098,0,0.11,0.06
0.179,-0.17,0.02,-0.06
0.181,-0.17,0.02,-0.06
0.183,-0.17,0.02,-0.06
0.193,0.11,-0.11,0
0.235,0.11,-0.11,0
0.238,0.11,-0.11,0
0.291,0.29,0.07,-0.12
0.294,0.29,0.07,-0.12
0.297,0.29,0.07,-0.12
0.299,0.29,0.07,-0.12
0.324,-0.03,0.01,-0.23
0.328,-0.03,0.01,-0.23
0.33,-0.03,0.01,-0.23
0.381,0.04,-0.05,-0.02
0.394,0.04,-0.05,-0.02
0.397,0.04,-0.05,-0.02
0.434,0.09,0.12,0.02
0.491,0.09,0.12,0.02
0.494,0.09,0.12,0.02
0.496,0.09,0.12,0.02
0.498,0.31,0.1,0.17
0.522,0.31,0.1,0.17
0.525,0.31,0.1,0.17
0.582,0.63,-0.03,0.07
0.586,0.63,-0.03,0.07
0.591,0.63,-0.03,0.07
0.616,1.72,0.11,-0.83
0.672,1.72,0.11,-0.83
0.676,1.72,0.11,-0.83
0.678,1.72,0.11,-0.83
0.681,1.63,1.42,-1.18
0.689,1.63,1.42,-1.18
0.695,1.63,1.42,-1.18
0.746,3.53,-0.65,-0.22
0.749,3.53,-0.65,-0.22
0.751,3.53,-0.65,-0.22
0.811,2.39,-1.75,-0.14
0.814,2.39,-1.75,-0.14
0.816,2.39,-1.75,-0.14
0.818,2.39,-1.75,-0.14
0.849,1.78,-1.55,0.8
0.905,1.78,-1.55,0.8
0.908,1.78,-1.55,0.8
0.91,0.72,-0.44,1.39
0.947,0.72,-0.44,1.39
0.95,0.72,-0.44,1.39
0.973,-1.21,0.91,1.73
0.995,-1.21,0.91,1.73
1.003,-1.21,0.91,1.73
1.006,-1.21,0.91,1.73
1.061,-2.09,1.32,0.72
1.064,-2.09,1.32,0.72
1.066,-2.09,1.32,0.72
1.09,-2.99,1.24,0.35
1.115,-2.99,1.24,0.35
1.118,-2.99,1.24,0.35
1.173,-2.17,1.59,0.85
1.179,-2.17,1.59,0.85
1.183,-2.17,1.59,0.85
1.187,-2.17,1.59,0.85
1.224,-2,0.97,0.31
1.227,-2,0.97,0.31
1.229,-2,0.97,0.31
1.279,-1.36,2.68,-2.01
1.288,-1.36,2.68,-2.01
1.293,-1.36,2.68,-2.01
1.339,-3.2,-2.13,-1.37
1.349,-3.2,-2.13,-1.37
1.352,-3.2,-2.13,-1.37
1.355,-3.2,-2.13,-1.37
1.418,0.71,0.67,0.71
1.421,0.71,0.67,0.71
1.426,0.71,0.67,0.71
1.455,0.69,-0.29,-0.61
1.544,0.69,-0.29,-0.61
1.547,0.69,-0.29,-0.61
1.549,0.09,0.29,0.12
1.55,0.09,0.29,0.12
1.552,0.09,0.29,0.12
1.554,0.09,0.29,0.12
1.583,-0.09,0.29,-0.29
1.587,-0.09,0.29,-0.29
1.59,-0.09,0.29,-0.29
1.649,0.69,0,0.03
1.652,0.69,0,0.03
1.655,0.69,0,0.03
1.703,0.4,0.22,-0.12
1.709,0.4,0.22,-0.12
1.711,0.4,0.22,-0.12
1.713,0.4,0.22,-0.12
1.795,0.39,-0.01,0.01
1.799,0.39,-0.01,0.01
1.801,0.39,-0.01,0.01
1.864,0.04,0.22,0
1.87,0.04,0.22,0
1.873,0.04,0.22,0
1.877,0.78,0.78,0.12
1.889,0.78,0.78,0.12
1.894,0.78,0.78,0.12
1.896,0.78,0.78,0.12
1.932,1.12,0.64,-0.53
2.01,1.12,0.64,-0.53
2.013,1.12,0.64,-0.53
2.015,2.01,1.27,0.2
2.017,2.01,1.27,0.2
2.019,2.01,1.27,0.2
2.051,2.05,2.06,1.21
2.098,2.05,2.06,1.21
2.1,2.05,2.06,1.21
2.102,2.05,2.06,1.21
2.124,4.48,3.55,2.27
2.128,4.48,3.55,2.27
2.13,4.48,3.55,2.27
2.218,7.17,1.79,2.28
2.22,7.17,1.79,2.28
2.222,7.17,1.79,2.28
2.232,3.05,2.41,-0.05
2.266,3.05,2.41,-0.05
2.279,3.05,2.41,-0.05
2.281,3.05,2.41,-0.05
2.296,3.75,-2.18,4.43
2.332,3.75,-2.18,4.43
2.334,3.75,-2.18,4.43
2.38,1.64,-4.61,2.21
2.382,1.64,-4.61,2.21
2.384,1.64,-4.61,2.21
2.413,-1.44,-1.83,2.06
2.457,-1.44,-1.83,2.06
2.459,-1.44,-1.83,2.06
2.461,-1.44,-1.83,2.06
2.471,-4.39,2.77,-0.81
2.5,-4.39,2.77,-0.81
2.502,-4.39,2.77,-0.81
2.572,-6.89,5.23,-5.51
2.576,-6.89,5.23,-5.51
2.579,-6.89,5.23,-5.51
2.593,-8.73,4.59,-6.55
2.617,-8.73,4.59,-6.55
2.62,-8.73,4.59,-6.55
2.622,-8.73,4.59,-6.55
2.704,-6.43,0.88,-5.89
2.708,-6.43,0.88,-5.89
2.709,-6.43,0.88,-5.89
2.712,7.08,7.17,5.73
2.732,7.08,7.17,5.73
2.734,7.08,7.17,5.73
2.859,-2.7,0.04,2.39
2.869,-2.7,0.04,2.39
2.871,-2.7,0.04,2.39
2.874,-2.7,0.04,2.39
2.876,-0.43,0.38,0.08
2.878,-0.43,0.38,0.08
2.881,-0.43,0.38,0.08
2.921,1.18,0.56,0.63
2.926,1.18,0.56,0.63
2.927,1.18,0.56,0.63
2.96,0.57,-0.26,0.37
3.021,0.57,-0.26,0.37
3.023,0.57,-0.26,0.37
3.025,0.57,-0.26,0.37
3.029,0.48,0.08,-0.15
3.035,0.48,0.08,-0.15
3.037,0.48,0.08,-0.15
3.165,1.22,0.26,0.43
3.168,1.22,0.26,0.43
3.17,1.22,0.26,0.43
3.175,1.06,-0.04,0.31
3.177,1.06,-0.04,0.31
3.179,1.06,-0.04,0.31
3.181,1.06,-0.04,0.31
3.231,0.25,0.5,0.35
3.235,0.25,0.5,0.35
3.238,0.25,0.5,0.35
3.285,0.74,0.18,-0.03
3.288,0.74,0.18,-0.03
3.291,0.74,0.18,-0.03
3.352,1.57,0.87,-0.08
3.355,1.57,0.87,-0.08
3.357,1.57,0.87,-0.08
3.359,1.57,0.87,-0.08
3.389,2.06,2.38,1.92
3.392,2.06,2.38,1.92
3.394,2.06,2.38,1.92
3.467,5.03,4.42,2.97
3.483,5.03,4.42,2.97
3.494,5.03,4.42,2.97
3.496,7.64,4.49,3.53
3.52,7.64,4.49,3.53
3.523,7.64,4.49,3.53
3.525,7.64,4.49,3.53
3.554,5.38,2.95,-1.96
3.614,5.38,2.95,-1.96
3.62,5.38,2.95,-1.96
3.622,4.89,-2.03,3.73
3.629,4.89,-2.03,3.73
