time,ax,ay,az
0.003,-0.76,0.06,-0.28
0.015,-0.76,0.06,-0.28
0.018,-0.76,0.06,-0.28
0.019,-0.76,0.06,-0.28
0.067,0.12,-0.1,0.06
0.096,0.12,-0.1,0.06
0.099,0.12,-0.1,0.06
0.138,0.47,0.18,0.09
0.145,0.47,0.18,0.09
0.147,0.47,0.18,0.09
0.176,0.04,-0.03,0.18
0.193,0.04,-0.03,0.18
0.196,0.04,-0.03,0.18
0.199,0.04,-0.03,0.18
0.256,0.05,0.12,0.03
0.259,0.05,0.12,0.03
0.261,0.05,0.12,0.03
0.295,-0.13,-0.27,0.39
0.331,-0.13,-0.27,0.39
0.337,-0.13,-0.27,0.39
0.358,0.22,-0.13,0.09
0.372,0.22,-0.13,0.09
0.374,0.22,-0.13,0.09
0.378,0.22,-0.13,0.09
0.432,-0.56,0.43,0.08
0.437,-0.56,0.43,0.08
0.446,-0.56,0.43,0.08
0.49,0.53,0.48,-0.12
0.493,0.53,0.48,-0.12
0.496,0.53,0.48,-0.12
0.541,-0.29,-0.04,0.24
0.565,-0.29,-0.04,0.24
0.569,-0.29,-0.04,0.24
0.571,-0.29,-0.04,0.24
0.595,-0.04,-0.15,-0.6
0.616,-0.04,-0.15,-0.6
0.624,-0.04,-0.15,-0.6
0.68,0.06,-0.08,-0.33
0.683,0.06,-0.08,-0.33
0.685,0.06,-0.08,-0.33
0.742,-0.51,-0.12,-0.26
0.746,-0.51,-0.12,-0.26
0.748,-0.51,-0.12,-0.26
0.75,-0.51,-0.12,-0.26
0.776,-0.85,-0.14,-0.15
0.813,-0.85,-0.14,-0.15
0.815,-0.85,-0.14,-0.15
0.835,0.37,0.12,0.67
0.861,0.37,0.12,0.67
0.867,0.37,0.12,0.67
0.897,-0.2,0.05,-0.6
0.916,-0.2,0.05,-0.6
0.918,-0.2,0.05,-0.6
0.92,-0.2,0.05,-0.6
0.957,0.43,-0.23,-0.77
0.974,0.43,-0.23,-0.77
0.977,0.43,-0.23,-0.77
1.017,0.18,-0.08,-0.25
1.062,0.18,-0.08,-0.25
1.065,0.18,-0.08,-0.25
1.114,-0.41,0,-0.59
1.118,-0.41,0,-0.59
1.121,-0.41,0,-0.59
1.124,-0.41,0,-0.59
1.135,0.17,-0.09,0.06
1.167,0.17,-0.09,0.06
1.171,0.17,-0.09,0.06
1.213,0.02,0,0.13
1.219,0.02,0,0.13
1.222,0.02,0,0.13
1.27,-0.23,-0.05,0.26
1.273,-0.23,-0.05,0.26
1.275,-0.23,-0.05,0.26
1.281,-0.23,-0.05,0.26
1.331,-0.18,-0.04,-0.36
1.334,-0.18,-0.04,-0.36
1.336,-0.18,-0.04,-0.36
1.376,0.13,0.05,0.05
1.393,0.13,0.05,0.05
1.397,0.13,0.05,0.05
1.437,0.01,-0.19,0.17
1.483,0.01,-0.19,0.17
1.486,0.01,-0.19,0.17
1.488,0.01,-0.19,0.17
1.497,0.36,-0.03,-0.21
1.513,0.36,-0.03,-0.21
1.515,0.36,-0.03,-0.21
1.558,0.47,0.19,-0.01
1.578,0.47,0.19,-0.01
1.581,0.47,0.19,-0.01
1.651,0.01,0.14,0.34
1.655,0.01,0.14,0.34
1.657,0.01,0.14,0.34
1.66,0.01,0.14,0.34
1.708,0.17,0.07,0.56
1.712,0.17,0.07,0.56
1.714,0.17,0.07,0.56
1.763,-0.25,0.13,0.24
1.766,-0.25,0.13,0.24
1.769,-0.25,0.13,0.24
1.798,0.64,0.35,0.02
1.814,0.64,0.35,0.02
1.817,0.64,0.35,0.02
1.819,0.64,0.35,0.02
1.907,-0.87,-0.06,0.05
1.915,-0.87,-0.06,0.05
1.92,-0.87,-0.06,0.05
1.923,-0.17,-0.24,0.03
1.938,-0.17,-0.24,0.03
1.942,-0.17,-0.24,0.03
2.001,0.38,0.08,0.37
2.004,0.38,0.08,0.37
2.005,0.38,0.08,0.37
2.007,0.38,0.08,0.37
2.036,1.69,0.7,0.64
2.081,1.69,0.7,0.64
2.083,1.69,0.7,0.64
2.099,-0.87,0.28,-0.85
2.115,-0.87,0.28,-0.85
2.118,-0.87,0.28,-0.85
2.176,-0.48,0.23,-0.36
2.179,-0.48,0.23,-0.36
2.181,-0.48,0.23,-0.36
2.183,-0.48,0.23,-0.36
2.23,-0.63,0.17,0.18
2.234,-0.63,0.17,0.18
2.238,-0.63,0.17,0.18
2.282,0.19,0.25,0.33
2.324,0.19,0.25,0.33
2.327,0.19,0.25,0.33
2.337,-0.34,0.23,-0.84
2.354,-0.34,0.23,-0.84
2.356,-0.34,0.23,-0.84
2.359,-0.34,0.23,-0.84
2.411,-0.26,1.04,-0.27
2.417,-0.26,1.04,-0.27
2.419,-0.26,1.04,-0.27
2.455,-0.58,2.09,-0.18
2.508,-0.58,2.09,-0.18
2.511,-0.58,2.09,-0.18
2.516,-1.98,3.2,1.15
2.534,-1.98,3.2,1.15
2.537,-1.98,3.2,1.15
2.54,-1.98,3.2,1.15
2.578,-3.94,5.1,1.64
2.658,-3.94,5.1,1.64
2.662,-3.94,5.1,1.64
2.664,-5.77,6.21,-0.17
2.666,-5.77,6.21,-0.17
2.668,-5.77,6.21,-0.17
2.712,-1.3,2.23,-2.31
2.714,-1.3,2.23,-2.31
2.716,-1.3,2.23,-2.31
2.718,-1.3,2.23,-2.31
2.758,-6.5,-0.72,0.73
2.789,-6.5,-0.72,0.73
2.793,-6.5,-0.72,0.73
2.834,-2.4,-0.75,0.29
2.838,-2.4,-0.75,0.29
2.84,-2.4,-0.75,0.29
2.878,-0.94,-0.5,0.8
2.92,-0.94,-0.5,0.8
2.923,-0.94,-0.5,0.8
2.927,-0.94,-0.5,0.8
2.94,2.47,1.48,0.96
2.961,2.47,1.48,0.96
2.968,2.47,1.48,0.96
2.998,4.33,3.24,-0.38
3.016,4.33,3.24,-0.38
3.019,4.33,3.24,-0.38
3.063,9.59,0.83,-2.52
3.074,9.59,0.83,-2.52
3.076,9.59,0.83,-2.52
3.078,9.59,0.83,-2.52
3.119,9.03,-2.64,-2.4
3.137,9.03,-2.64,-2.4
3.141,9.03,-2.64,-2.4
3.178,3.29,3.97,-2.05
3.245,3.29,3.97,-2.05
3.248,3.29,3.97,-2.05
3.251,4.55,-4.05,-5.32
3.258,4.55,-4.05,-5.32
3.26,4.55,-4.05,-5.32
3.263,4.55,-4.05,-5.32
3.298,-1.22,1.7,0.31
3.343,-1.22,1.7,0.31
3.345,-1.22,1.7,0.31
3.36,-0.83,-0.8,-0.6
3.374,-0.83,-0.8,-0.6
3.377,-0.83,-0.8,-0.6
3.418,-1.87,0,0.24
3.468,-1.87,0,0.24
3.472,-1.87,0,0.24
3.475,-1.87,0,0.24
3.485,0.58,0.16,1.29
3.51,0.58,0.16,1.29
3.513,0.58,0.16,1.29
3.555,-2.03,-0.3,-0.07
3.557,-2.03,-0.3,-0.07
3.562,-2.03,-0.3,-0.07
3.597,-1.29,0.19,0.31
