time,ax,ay,az
0.005,0.81,0.14,-0.14
0.008,0.81,0.14,-0.14
0.01,0.25,0.08,-0.51
0.063,0.25,0.08,-0.51
0.066,0.25,0.08,-0.51
0.067,0.64,0.09,0.58
0.109,0.64,0.09,0.58
0.16,0.64,0.09,0.58
0.162,0.64,0.09,0.58
0.165,0.52,0.08,-0.01
0.197,0.52,0.08,-0.01
0.199,0.52,0.08,-0.01
0.201,-0.98,0.45,-0.8
0.29,-0.98,0.45,-0.8
0.293,-0.98,0.45,-0.8
0.295,1.04,0.3,0.15
0.298,1.04,0.3,0.15
0.306,1.04,0.3,0.15
0.309,1.04,0.3,0.15
0.312,-0.37,0.36,-0.92
0.415,-0.37,0.36,-0.92
0.419,-0.37,0.36,-0.92
0.422,1.52,-0.14,-0.12
0.425,1.52,-0.14,-0.12
0.427,1.52,-0.14,-0.12
0.43,0.34,0.15,-0.44
0.487,0.34,0.15,-0.44
0.495,0.34,0.15,-0.44
0.501,0.34,0.15,-0.44
0.507,-1.15,-0.11,-0.7
0.55,-1.15,-0.11,-0.7
0.561,-1.15,-0.11,-0.7
0.564,-1.11,0.09,-0.02
0.631,-1.11,0.09,-0.02
0.635,-1.11,0.09,-0.02
0.639,-0.7,-0.55,-1.36
0.645,-0.7,-0.55,-1.36
0.676,-0.7,-0.55,-1.36
0.678,-0.7,-0.55,-1.36
0.68,0.6,0.3,0.06
0.751,0.6,0.3,0.06
0.758,0.6,0.3,0.06
0.763,0.55,0.19,-1.51
0.818,0.55,0.19,-1.51
0.82,0.55,0.19,-1.51
0.822,0.84,0.21,0.56
0.826,0.84,0.21,0.56
0.863,0.84,0.21,0.56
0.872,0.84,0.21,0.56
0.874,-0.45,-0.37,-0.29
0.904,-0.45,-0.37,-0.29
0.907,-0.45,-0.37,-0.29
0.909,0.78,-0.15,-0.93
0.991,0.78,-0.15,-0.93
1.003,0.78,-0.15,-0.93
1.005,-0.2,-0.4,0.02
1.007,-0.2,-0.4,0.02
1.039,-0.2,-0.4,0.02
1.043,-0.2,-0.4,0.02
1.044,-0.06,-0.03,0.47
1.091,-0.06,-0.03,0.47
1.095,-0.06,-0.03,0.47
1.097,-0.3,-0.12,0.41
1.157,-0.3,-0.12,0.41
1.16,-0.3,-0.12,0.41
1.162,0.2,0,-0.13
1.178,0.2,0,-0.13
1.204,0.2,0,-0.13
1.207,0.2,0,-0.13
1.209,0.43,0.05,-0.41
1.281,0.43,0.05,-0.41
1.288,0.43,0.05,-0.41
1.297,0.26,0.06,-0.08
1.333,0.26,0.06,-0.08
1.335,0.26,0.06,-0.08
1.337,0.23,-0.22,-0.34
1.417,0.23,-0.22,-0.34
1.419,0.23,-0.22,-0.34
1.421,0.23,-0.22,-0.34
1.423,-0.67,-0.09,-0.37
1.462,-0.67,-0.09,-0.37
1.467,-0.67,-0.09,-0.37
1.469,0.98,0.05,0.12
1.503,0.98,0.05,0.12
1.507,0.98,0.05,0.12
1.509,0.64,-0.01,0.59
1.538,0.64,-0.01,0.59
1.573,0.64,-0.01,0.59
1.578,0.64,-0.01,0.59
1.58,0.34,0.14,-0.3
1.623,0.34,0.14,-0.3
1.626,0.34,0.14,-0.3
1.629,0.07,-0.01,-0.07
1.696,0.07,-0.01,-0.07
1.699,0.07,-0.01,-0.07
1.701,-0.36,0,-0.81
1.718,-0.36,0,-0.81
1.751,-0.36,0,-0.81
1.754,-0.36,0,-0.81
1.757,0.83,-0.11,0.31
1.803,0.83,-0.11,0.31
1.805,0.83,-0.11,0.31
1.807,0.52,0.33,-0.7
1.905,0.52,0.33,-0.7
1.908,0.52,0.33,-0.7
1.91,0.73,-0.1,-0.87
1.912,0.73,-0.1,-0.87
1.924,0.73,-0.1,-0.87
1.927,0.73,-0.1,-0.87
1.929,0.06,-0.1,-0.73
2.071,0.06,-0.1,-0.73
2.077,0.06,-0.1,-0.73
2.082,-1.04,0.08,-0.79
2.087,-1.04,0.08,-0.79
2.091,-1.04,0.08,-0.79
2.095,0.81,0.16,-0.93
2.097,0.81,0.16,-0.93
2.13,0.81,0.16,-0.93
2.133,0.81,0.16,-0.93
2.135,0.87,-0.09,-0.34
2.17,0.87,-0.09,-0.34
2.176,0.87,-0.09,-0.34
2.178,-0.97,-0.04,-0.58
2.289,-0.97,-0.04,-0.58
2.294,-0.97,-0.04,-0.58
2.296,-0.78,0.02,-0.6
2.298,-0.78,0.02,-0.6
2.301,-0.78,0.02,-0.6
2.304,-0.78,0.02,-0.6
2.306,0.76,5,-0.14
2.346,0.76,5,-0.14
2.349,0.76,5,-0.14
2.354,6.75,6.81,0.19
2.474,6.75,6.81,0.19
2.479,6.75,6.81,0.19
2.482,9.73,5.87,-2.33
2.493,9.73,5.87,-2.33
2.495,9.73,5.87,-2.33
2.497,9.73,5.87,-2.33
2.499,0.05,0.1,-10.35
2.533,0.05,0.1,-10.35
2.542,0.05,0.1,-10.35
2.548,7.78,-4.72,1.33
2.591,7.78,-4.72,1.33
2.594,7.78,-4.72,1.33
2.596,4.94,-2.55,-1.31
2.648,4.94,-2.55,-1.31
2.653,4.94,-2.55,-1.31
2.657,4.94,-2.55,-1.31
2.659,1.7,0.45,-0.81
2.808,1.7,0.45,-0.81
2.812,1.7,0.45,-0.81
2.815,-0.36,3.93,-0.38
2.817,-0.36,3.93,-0.38
2.818,-0.36,3.93,-0.38
2.821,-7.64,8.47,-1.81
2.823,-7.64,8.47,-1.81
2.824,-7.64,8.47,-1.81
