time,ax,ay,az
0.006,-0.26,-0.11,-0.12
0.008,-0.26,-0.11,-0.12
0.01,0.05,0.09,-0.04
0.104,0.05,0.09,-0.04
0.106,0.05,0.09,-0.04
0.108,0.05,0.09,-0.04
0.11,0.15,0.07,-0.05
0.139,0.15,0.07,-0.05
0.141,0.15,0.07,-0.05
0.143,-0.03,0.04,-0.1
0.204,-0.03,0.04,-0.1
0.207,-0.03,0.04,-0.1
0.208,0.01,0.07,-0.06
0.256,0.01,0.07,-0.06
0.258,0.01,0.07,-0.06
0.264,0.01,0.07,-0.06
0.268,0.1,0.07,-0.05
0.307,0.1,0.07,-0.05
0.309,0.1,0.07,-0.05
0.312,0.08,0.07,-0.13
0.369,0.08,0.07,-0.13
0.371,0.08,0.07,-0.13
0.373,-0.1,-0.02,-0.01
0.423,-0.1,-0.02,-0.01
0.426,-0.1,-0.02,-0.01
0.427,-0.1,-0.02,-0.01
0.429,0.1,0.02,-0.1
0.485,0.1,0.02,-0.1
0.488,0.1,0.02,-0.1
0.489,0.09,0.04,-0.02
0.575,0.09,0.04,-0.02
0.578,0.09,0.04,-0.02
0.58,-0.01,0.01,0.01
0.609,-0.01,0.01,0.01
0.611,-0.01,0.01,0.01
0.613,-0.01,0.01,0.01
0.615,0.04,0.04,-0.12
0.664,0.04,0.04,-0.12
0.669,0.04,0.04,-0.12
0.674,-0.01,0.06,-0.13
0.725,-0.01,0.06,-0.13
0.727,-0.01,0.06,-0.13
0.728,0.04,0.05,-0.01
0.784,0.04,0.05,-0.01
0.791,0.04,0.05,-0.01
0.796,0.04,0.05,-0.01
0.801,0.12,0.06,-0.05
0.863,0.12,0.06,-0.05
0.869,0.12,0.06,-0.05
0.871,0.03,0.03,-0.15
0.904,0.03,0.03,-0.15
0.906,0.03,0.03,-0.15
0.908,-0.08,0.06,-0.07
0.965,-0.08,0.06,-0.07
0.969,-0.08,0.06,-0.07
0.97,-0.08,0.06,-0.07
0.972,0.02,0.05,-0.09
1.023,0.02,0.05,-0.09
1.025,0.02,0.05,-0.09
1.027,-0.04,0.07,-0.1
1.083,-0.04,0.07,-0.1
1.086,-0.04,0.07,-0.1
1.088,0.09,0.09,-0.39
1.154,0.09,0.09,-0.39
1.157,0.09,0.09,-0.39
1.158,0.09,0.09,-0.39
1.159,-0.16,0,-0.1
1.206,-0.16,0,-0.1
1.213,-0.16,0,-0.1
1.218,-0.64,-0.14,-0.24
1.263,-0.64,-0.14,-0.24
1.266,-0.64,-0.14,-0.24
1.267,0.64,0.06,0.06
1.324,0.64,0.06,0.06
1.331,0.64,0.06,0.06
1.335,0.64,0.06,0.06
1.337,0.28,0.15,-0.09
1.383,0.28,0.15,-0.09
1.386,0.28,0.15,-0.09
1.388,-0.49,-0.05,0.06
1.466,-0.49,-0.05,0.06
1.47,-0.49,-0.05,0.06
1.472,0.44,0.1,0.15
1.532,0.44,0.1,0.15
1.536,0.44,0.1,0.15
1.538,0.44,0.1,0.15
1.543,-0.7,-0.24,-0.11
1.578,-0.7,-0.24,-0.11
1.581,-0.7,-0.24,-0.11
1.583,0.07,-0.06,-0.14
1.626,0.07,-0.06,-0.14
1.628,0.07,-0.06,-0.14
1.63,-0.05,-0.03,-0.05
1.684,-0.05,-0.03,-0.05
1.69,-0.05,-0.03,-0.05
1.692,-0.05,-0.03,-0.05
1.694,-0.48,0.03,-0.34
1.761,-0.48,0.03,-0.34
1.765,-0.48,0.03,-0.34
1.767,-0.29,0.16,-0.23
